date,open,high,low,close,volume
1667005200000,15.68,15.68,15.58,15.63,1101.61
1667008800000,15.62,15.64,15.42,15.47,4634.62
1667012400000,15.48,15.71,15.48,15.66,7226.01
1667016000000,15.66,15.69,15.53,15.53,1553.18
1667019600000,15.54,15.67,15.52,15.65,3308.5
1667023200000,15.65,16.14,15.65,16.06,11781.42
1667026800000,16.05,16.05,15.86,15.9,6267.65
1667030400000,15.89,16.05,15.82,16.01,6602.22
1667034000000,16.02,16.13,16.02,16.12,7235.3
1667037600000,16.13,16.18,15.85,15.9,5949.88
1667041200000,15.92,16.3,15.86,16.23,21719.07
1667044800000,16.23,16.43,16.15,16.34,11780.97
1667048400000,16.35,16.47,16.26,16.46,6347.46
1667052000000,16.47,16.64,16.36,16.37,11898.71
1667055600000,16.37,16.6,16.33,16.43,10599.86
1667059200000,16.43,16.78,16.34,16.6,10721.77
1667062800000,16.59,16.78,16.32,16.41,8613.61
1667066400000,16.4,16.72,16.33,16.57,6473.21
1667070000000,16.6,16.61,16.39,16.52,4147.9
1667073600000,16.5,16.69,16.46,16.66,3465.39
1667077200000,16.66,17.11,16.64,16.74,22592.52
1667080800000,16.73,16.89,16.56,16.64,9555.08
1667084400000,16.66,16.68,16.44,16.55,4374.63
1667088000000,16.57,16.73,16.35,16.51,8148.62
1667091600000,16.5,16.91,16.46,16.76,6248.55
1667095200000,16.77,16.77,16.6,16.6,4596.55
1667098800000,16.6,16.75,16.6,16.66,2086.15
1667102400000,16.65,16.65,16.34,16.4,11538.95
1667106000000,16.4,16.5,16.26,16.29,19911.25
1667109600000,16.29,16.42,16.25,16.4,9658.59
1667113200000,16.38,16.63,16.37,16.57,6516.12
1667116800000,16.59,16.62,16.2,16.52,9847.53
1667120400000,16.53,16.7,16.2,16.41,6479.3
1667124000000,16.41,16.5,16.35,16.45,2801.43
1667127600000,16.45,16.49,16.3,16.43,2509.6
1667131200000,16.39,16.39,16.17,16.28,3265.94
1667134800000,16.25,16.31,16.04,16.12,5807.55
1667138400000,16.11,16.28,16.06,16.21,3129.82
1667142000000,16.22,16.22,15.93,15.95,6663.84
1667145600000,15.97,16.12,15.93,15.97,9607.55
1667149200000,15.99,16.06,15.93,16.04,2764.4
1667152800000,16.03,16.07,16.01,16.01,745.03
1667156400000,16.06,16.11,16,16.06,1224.18
1667160000000,16.04,16.08,16,16.07,2249.03
1667163600000,16.09,16.09,15.98,16.01,1244.74
1667167200000,16.04,16.04,15.51,15.72,12291.47
