date,open,high,low,close,volume
1667005200000,0.2421,0.2427,0.2421,0.2427,80786
1667008800000,0.2428,0.2453,0.2427,0.2452,25287
1667012400000,0.2448,0.2462,0.2448,0.2461,22413
1667016000000,0.2461,0.2462,0.2451,0.2461,4968
1667019600000,0.2457,0.2468,0.2454,0.2468,12817
1667023200000,0.2468,0.2471,0.2458,0.247,6142
1667026800000,0.247,0.2472,0.2457,0.2457,21428
1667030400000,0.2465,0.252,0.2454,0.2516,180623
1667034000000,0.2516,0.2522,0.2507,0.252,13101
1667037600000,0.2511,0.2538,0.2509,0.2527,40461
1667041200000,0.252,0.2562,0.252,0.2534,222191
1667044800000,0.2534,0.2535,0.2487,0.2508,168804
1667048400000,0.2514,0.2521,0.2509,0.2515,5152
1667052000000,0.2518,0.2523,0.2508,0.2511,115937
1667055600000,0.2521,0.2522,0.251,0.252,44004
1667059200000,0.252,0.2537,0.2517,0.2533,14251
1667062800000,0.2535,0.2544,0.2522,0.2529,41483
1667066400000,0.2523,0.255,0.2518,0.2519,124489
1667070000000,0.2526,0.2535,0.2521,0.2526,18107
1667073600000,0.2526,0.254,0.2526,0.254,23781
1667077200000,0.2543,0.2544,0.2533,0.2535,13125
1667080800000,0.2539,0.2543,0.2529,0.2529,11286
1667084400000,0.2536,0.2544,0.2529,0.2535,22107
1667088000000,0.2532,0.2537,0.253,0.2533,3279
1667091600000,0.2534,0.2534,0.2534,0.2534,80
1667095200000,0.2534,0.2534,0.2526,0.2531,56223
1667098800000,0.2531,0.2533,0.2519,0.2529,21830
1667102400000,0.2519,0.2521,0.2517,0.2517,3788
1667106000000,0.2517,0.2523,0.2512,0.2518,11439
1667109600000,0.2518,0.2518,0.2507,0.2509,16434
1667113200000,0.2508,0.2516,0.2499,0.2507,60410
1667116800000,0.2515,0.2515,0.2501,0.2502,53165
1667120400000,0.2501,0.2508,0.2497,0.2498,37652
1667124000000,0.2498,0.2502,0.2498,0.2498,1676
1667127600000,0.2502,0.2509,0.2496,0.2506,44492
1667131200000,0.2506,0.2506,0.2493,0.2498,9413
1667134800000,0.2498,0.25,0.2473,0.2487,22093
1667138400000,0.2492,0.2503,0.249,0.2496,2553
1667142000000,0.2497,0.2497,0.2487,0.249,2216
1667145600000,0.2492,0.25,0.2486,0.2486,16438
1667149200000,0.2487,0.2488,0.2487,0.2488,105
1667152800000,0.2486,0.2487,0.2486,0.2486,1247
1667156400000,0.2486,0.2487,0.2486,0.2487,1463
1667160000000,0.2487,0.2496,0.2486,0.2496,2781
1667163600000,0.2488,0.2495,0.2486,0.2486,3646
1667167200000,0.2486,0.2494,0.2486,0.2494,26110
1667170800000,0.2494,0.2496,0.2486,0.2486,24117
1667174400000,0.2486,0.2487,0.2462,0.2468,171087
1667178000000,0.2468,0.2473,0.245,0.2456,37010
1667181600000,0.2456,0.2456,0.2434,0.2441,53424
1667185200000,0.2442,0.2474,0.2432,0.2467,69977
1667188800000,0.2469,0.2475,0.2469,0.2475,758
1667192400000,0.2475,0.2476,0.2473,0.2476,2577
1667196000000,0.2477,0.2477,0.2473,0.2476,2510
1667199600000,0.2476,0.2479,0.2474,0.2475,3778
1667203200000,0.2475,0.2476,0.247,0.2473,15762
1667206800000,0.2472,0.2501,0.247,0.2498,17102
1667210400000,0.2499,0.2512,0.2498,0.2511,16409
1667214000000,0.251,0.2514,0.2505,0.2508,4264
1667217600000,0.2512,0.2512,0.2506,0.2507,2345
1667221200000,0.2507,0.2511,0.2497,0.2497,26954
1667224800000,0.2503,0.2516,0.2487,0.251,29938
1667228400000,0.2501,0.2501,0.2486,0.2498,45784
1667232000000,0.2488,0.25,0.2483,0.2492,81341
1667235600000,0.2487,0.2488,0.2483,0.2484,26599
1667239200000,0.2482,0.2483,0.2479,0.2482,2960
1667242800000,0.2477,0.2477,0.2475,0.2475,907
1667246400000,0.2475,0.2478,0.2469,0.2478,6676
1667250000000,0.2468,0.2472,0.2468,0.2471,2148
1667253600000,0.2475,0.2478,0.2472,0.2478,712
1667257200000,0.2473,0.2473,0.2453,0.2457,30331
1667260800000,0.2456,0.2462,0.245,0.2452,38135
1667264400000,0.2452,0.2458,0.2449,0.2455,13165
1667268000000,0.2457,0.2481,0.2457,0.2478,86331
1667271600000,0.2474,0.2482,0.2468,0.2472,32284
1667275200000,0.2472,0.2475,0.2472,0.2472,3716
1667278800000,0.2471,0.248,0.247,0.2477,4562
1667282400000,0.2477,0.2485,0.2475,0.2481,13068
1667286000000,0.2486,0.2492,0.248,0.2488,36371
1667289600000,0.2488,0.2494,0.2468,0.2478,75121
1667293200000,0.2478,0.249,0.2475,0.2481,12194
1667296800000,0.2482,0.2491,0.248,0.2483,36370
1667300400000,0.2483,0.2483,0.2476,0.2476,3361
1667304000000,0.2483,0.2483,0.2475,0.2483,465
1667307600000,0.2473,0.248,0.2469,0.2469,3650
1667311200000,0.2475,0.2477,0.2459,0.2459,51872
1667314800000,0.2466,0.2467,0.2437,0.2453,35829
1667318400000,0.2444,0.246,0.2442,0.2451,22524
1667322000000,0.245,0.2454,0.2443,0.2446,23287
1667325600000,0.2446,0.2459,0.2445,0.2455,23080
1667329200000,0.2457,0.2463,0.2457,0.2459,2166
1667332800000,0.246,0.2467,0.246,0.2465,6848
1667336400000,0.2465,0.2467,0.2459,0.2459,21281
1667340000000,0.246,0.2461,0.2443,0.245,39766
1667343600000,0.2448,0.2461,0.2448,0.2461,82314
1667347200000,0.2454,0.2457,0.2449,0.2457,426
1667350800000,0.246,0.2466,0.2455,0.2455,1092
1667354400000,0.2455,0.2463,0.2454,0.2463,1504
1667358000000,0.2463,0.2472,0.2457,0.2464,20614
1667361600000,0.2474,0.2476,0.2468,0.247,5929
1667365200000,0.247,0.2486,0.247,0.2486,27475
1667368800000,0.2478,0.2478,0.2451,0.247,56212
1667372400000,0.247,0.2473,0.2465,0.2467,10393
1667376000000,0.2467,0.2475,0.2453,0.2473,60871
1667379600000,0.2476,0.2476,0.2464,0.2465,5793
1667383200000,0.2465,0.2465,0.2447,0.2458,7518
1667386800000,0.2449,0.2458,0.2447,0.2454,1436
1667390400000,0.2455,0.2456,0.2447,0.2448,2981
1667394000000,0.2453,0.2455,0.2436,0.2442,50897
1667397600000,0.2437,0.2518,0.242,0.2431,528429
1667401200000,0.243,0.244,0.2425,0.2433,50152
1667404800000,0.2429,0.2484,0.2425,0.2449,138348
1667408400000,0.2447,0.2449,0.2435,0.2435,33513
1667412000000,0.244,0.2505,0.2439,0.247,386314
1667415600000,0.2473,0.2481,0.2468,0.2468,61610
1667419200000,0.247,0.2951,0.2438,0.2558,3596241
1667422800000,0.2558,0.2563,0.2483,0.2494,991771
1667426400000,0.2491,0.2493,0.244,0.2449,365063
1667430000000,0.2449,0.2459,0.2427,0.244,208956
1667433600000,0.244,0.2452,0.2419,0.2452,129708
1667437200000,0.2448,0.2464,0.2448,0.2462,79281
1667440800000,0.2462,0.2463,0.245,0.2457,17688
1667444400000,0.2451,0.2457,0.2438,0.2442,119460
1667448000000,0.2442,0.2446,0.2439,0.244,40048
1667451600000,0.2441,0.2447,0.2434,0.2446,23087
1667455200000,0.2446,0.2447,0.2428,0.2432,95686
1667458800000,0.2432,0.2442,0.2421,0.2427,34166
1667462400000,0.2427,0.2433,0.2424,0.243,27609
1667466000000,0.2432,0.2435,0.2422,0.243,23087
1667469600000,0.2431,0.2436,0.2419,0.2421,43808
1667473200000,0.2419,0.2426,0.24,0.2412,140777
1667476800000,0.2415,0.2425,0.2406,0.2406,31110
1667480400000,0.2411,0.2423,0.2408,0.2412,53555
1667484000000,0.2412,0.2433,0.2409,0.2432,44472
1667487600000,0.2426,0.2431,0.2419,0.2428,14664
1667491200000,0.2427,0.2432,0.2416,0.2417,15762
1667494800000,0.2417,0.2432,0.2417,0.2428,11815
1667498400000,0.2429,0.2443,0.2417,0.2426,59268
1667502000000,0.2425,0.2432,0.2424,0.2426,11830
1667505600000,0.2425,0.2426,0.2416,0.2417,13505
1667509200000,0.242,0.2429,0.2419,0.2424,16942
1667512800000,0.2424,0.2434,0.2411,0.243,55523
1667516400000,0.243,0.2432,0.2419,0.2431,14238
1667520000000,0.2427,0.2428,0.2411,0.2419,27924
1667523600000,0.2419,0.243,0.2418,0.2427,16253
1667527200000,0.2427,0.243,0.2421,0.2422,74021
1667530800000,0.2422,0.2436,0.2417,0.2436,53244
1667534400000,0.2432,0.2435,0.2425,0.2433,25502
1667538000000,0.2433,0.2447,0.2419,0.2447,127448
1667541600000,0.2447,0.2473,0.2447,0.2468,52356
1667545200000,0.2465,0.2468,0.2439,0.2459,210271
1667548800000,0.2466,0.2469,0.2465,0.2467,11217
1667552400000,0.2467,0.2467,0.2449,0.2458,67157
1667556000000,0.2455,0.2467,0.2451,0.2466,79170
1667559600000,0.2469,0.247,0.246,0.246,5076
1667563200000,0.2461,0.2494,0.2459,0.2489,102479
1667566800000,0.2492,0.2509,0.249,0.2494,119304
1667570400000,0.2498,0.256,0.2496,0.2538,256970
1667574000000,0.2533,0.2553,0.2527,0.253,56890
1667577600000,0.253,0.2552,0.2518,0.2523,54406
1667581200000,0.253,0.26,0.2518,0.2555,346046
1667584800000,0.2555,0.2624,0.25,0.2533,886835
1667588400000,0.2533,0.2544,0.2533,0.2537,9757
1667592000000,0.254,0.2545,0.2521,0.2532,56721
1667595600000,0.2525,0.2536,0.2525,0.2536,13063
1667599200000,0.2534,0.2539,0.2527,0.2534,11929
1667602800000,0.2536,0.2539,0.2533,0.2533,2289
1667606400000,0.2538,0.2554,0.2535,0.2545,79746
1667610000000,0.2548,0.2568,0.2543,0.2554,99799
1667613600000,0.2553,0.2553,0.2539,0.255,22019
1667617200000,0.2553,0.2553,0.2533,0.2533,15608
1667620800000,0.2543,0.2544,0.2535,0.2535,18957
1667624400000,0.254,0.2543,0.2536,0.2542,16193
1667628000000,0.2537,0.2557,0.2537,0.2557,14154
1667631600000,0.2553,0.2557,0.2546,0.2549,2988
1667635200000,0.2554,0.2561,0.2536,0.2549,37390
