date,open,high,low,close,volume
1667005200000,0.0479,0.0482,0.0478,0.0482,240356
1667008800000,0.0482,0.0491,0.0481,0.0486,927050
1667012400000,0.0486,0.0487,0.0482,0.0484,824722
1667016000000,0.0484,0.0487,0.0483,0.0487,320879
1667019600000,0.0486,0.0488,0.0484,0.0488,239167
1667023200000,0.0487,0.0491,0.0485,0.0487,443260
1667026800000,0.0488,0.0492,0.0486,0.0492,200502
1667030400000,0.0492,0.0495,0.0487,0.0493,394470
1667034000000,0.0493,0.0494,0.0491,0.0494,110907
1667037600000,0.0493,0.0497,0.0486,0.049,947655
1667041200000,0.0492,0.0494,0.0488,0.0488,514784
1667044800000,0.0488,0.0492,0.0488,0.0492,192265
1667048400000,0.0492,0.0494,0.0486,0.0491,675866
1667052000000,0.0492,0.0497,0.0488,0.0491,638137
1667055600000,0.049,0.0495,0.049,0.0493,680031
1667059200000,0.0493,0.051,0.0491,0.0505,1928498
1667062800000,0.0505,0.0513,0.0498,0.0503,1339125
1667066400000,0.0503,0.0503,0.0495,0.0495,449792
1667070000000,0.0497,0.0499,0.0485,0.0489,1198144
1667073600000,0.0489,0.0491,0.0488,0.049,106876
1667077200000,0.049,0.0493,0.0489,0.0493,189051
1667080800000,0.0494,0.0495,0.049,0.0491,418709
1667084400000,0.0492,0.0492,0.0489,0.0491,108919
1667088000000,0.0492,0.0495,0.0491,0.0494,241693
1667091600000,0.0492,0.0499,0.0492,0.0496,306049
1667095200000,0.0496,0.0499,0.0495,0.0497,78144
1667098800000,0.0497,0.0499,0.0496,0.0499,97860
1667102400000,0.0498,0.0527,0.0496,0.0513,6073251
1667106000000,0.0514,0.0523,0.0512,0.0515,1683889
1667109600000,0.0515,0.0519,0.0511,0.0513,553599
1667113200000,0.0512,0.0515,0.0509,0.0513,1569511
1667116800000,0.0512,0.0514,0.0501,0.0504,1099772
1667120400000,0.0504,0.051,0.0497,0.0498,771688
1667124000000,0.0498,0.0506,0.0497,0.0504,612810
1667127600000,0.0505,0.051,0.0503,0.0506,401314
1667131200000,0.0506,0.0514,0.0506,0.051,521604
1667134800000,0.0511,0.0514,0.0504,0.0506,868755
1667138400000,0.0506,0.0509,0.05,0.0502,1033796
1667142000000,0.0503,0.0505,0.0497,0.0497,566377
1667145600000,0.0498,0.0501,0.0496,0.0499,447110
1667149200000,0.0499,0.05,0.0497,0.0499,103333
1667152800000,0.0499,0.0501,0.0496,0.05,139581
1667156400000,0.05,0.0501,0.0498,0.0499,159653
1667160000000,0.05,0.0511,0.0496,0.0509,1037260
1667163600000,0.0509,0.0511,0.0502,0.0503,739139
1667167200000,0.0503,0.0503,0.0492,0.0501,1054292
1667170800000,0.05,0.0501,0.0498,0.0498,191381
1667174400000,0.0498,0.0501,0.0494,0.0496,136693
1667178000000,0.0496,0.0499,0.0494,0.0494,136172
1667181600000,0.0494,0.0495,0.049,0.0491,171171
1667185200000,0.0492,0.0492,0.0488,0.0491,530677
1667188800000,0.049,0.0494,0.049,0.049,210311
1667192400000,0.0491,0.0493,0.0489,0.0491,123825
1667196000000,0.0491,0.0491,0.0488,0.0489,76408
1667199600000,0.049,0.0491,0.0488,0.0489,101642
1667203200000,0.0491,0.0491,0.0486,0.0486,217269
1667206800000,0.0486,0.0495,0.0486,0.0495,451262
1667210400000,0.0494,0.0495,0.0492,0.0493,155070
1667214000000,0.0494,0.0495,0.0493,0.0494,228679
1667217600000,0.0494,0.0495,0.0493,0.0494,157204
1667221200000,0.0494,0.0496,0.0487,0.0487,623774
1667224800000,0.0487,0.049,0.0484,0.0487,437675
1667228400000,0.0486,0.0489,0.0485,0.0487,194333
1667232000000,0.0484,0.0491,0.0483,0.0487,457950
1667235600000,0.0487,0.049,0.0485,0.0486,227314
1667239200000,0.0488,0.0489,0.0486,0.0489,110757
1667242800000,0.0489,0.0489,0.0484,0.0487,348222
1667246400000,0.0488,0.0488,0.0483,0.0485,544497
1667250000000,0.0483,0.0485,0.0481,0.0482,223839
1667253600000,0.0483,0.0485,0.0482,0.0484,88838
1667257200000,0.0485,0.0486,0.0483,0.0485,151601
1667260800000,0.0484,0.0488,0.0484,0.0485,99388
1667264400000,0.0487,0.0488,0.0485,0.0487,28272
1667268000000,0.0487,0.0489,0.0486,0.0488,97535
1667271600000,0.0488,0.0488,0.0486,0.0486,131685
1667275200000,0.0488,0.0488,0.0482,0.0483,949199
1667278800000,0.0483,0.0484,0.0482,0.0484,99815
1667282400000,0.0485,0.0492,0.0483,0.0491,534826
1667286000000,0.0491,0.0491,0.0488,0.049,58767
1667289600000,0.049,0.0491,0.0488,0.049,116150
1667293200000,0.049,0.0493,0.0488,0.0491,149375
1667296800000,0.0491,0.0493,0.0488,0.0492,157261
1667300400000,0.049,0.0491,0.0486,0.0486,177073
1667304000000,0.0488,0.0491,0.0485,0.049,104961
1667307600000,0.049,0.0492,0.0485,0.0485,87365
1667311200000,0.0486,0.0487,0.0484,0.0484,59757
1667314800000,0.0485,0.0487,0.0484,0.0484,56093
1667318400000,0.0486,0.0488,0.0484,0.0487,191254
1667322000000,0.0485,0.0488,0.0485,0.0487,123447
1667325600000,0.0486,0.0488,0.0486,0.0487,49430
1667329200000,0.0487,0.0493,0.0487,0.0492,757807
1667332800000,0.0491,0.0493,0.049,0.0492,317232
1667336400000,0.0491,0.0493,0.049,0.049,357333
1667340000000,0.0491,0.0493,0.049,0.0491,124857
1667343600000,0.0492,0.0492,0.0491,0.0491,25103
1667347200000,0.0491,0.0493,0.0489,0.0492,176208
1667350800000,0.0493,0.0493,0.049,0.0492,224188
1667354400000,0.0492,0.0492,0.0489,0.049,246415
1667358000000,0.0492,0.0493,0.0491,0.0491,65718
1667361600000,0.0491,0.0493,0.049,0.0491,73131
1667365200000,0.0492,0.0507,0.0492,0.0503,1559604
1667368800000,0.0504,0.0523,0.0495,0.0513,3363331
1667372400000,0.0514,0.0515,0.0495,0.0504,1439245
1667376000000,0.0503,0.0506,0.05,0.0503,732828
1667379600000,0.0503,0.0503,0.0495,0.05,1182245
1667383200000,0.05,0.0501,0.049,0.0493,835943
1667386800000,0.0493,0.0497,0.0492,0.0495,287220
1667390400000,0.0495,0.0496,0.049,0.0492,302244
1667394000000,0.0492,0.0498,0.0491,0.0497,512408
1667397600000,0.0497,0.05,0.0494,0.0495,616066
1667401200000,0.0496,0.0499,0.0493,0.0495,764741
1667404800000,0.0495,0.0497,0.049,0.0496,635440
1667408400000,0.0496,0.0498,0.0492,0.0493,460484
1667412000000,0.0493,0.0516,0.0492,0.0505,3095102
1667415600000,0.0504,0.051,0.0498,0.0498,1243467
1667419200000,0.0498,0.05,0.0495,0.0497,618856
1667422800000,0.0498,0.0501,0.0496,0.0498,443538
1667426400000,0.0498,0.0499,0.0495,0.0497,435298
1667430000000,0.0497,0.0499,0.0495,0.0497,444610
1667433600000,0.0497,0.0507,0.0496,0.0504,1105959
1667437200000,0.0504,0.0515,0.05,0.0507,1682031
1667440800000,0.0507,0.0509,0.0499,0.0505,1486397
1667444400000,0.0505,0.0529,0.0504,0.052,2838488
1667448000000,0.052,0.0528,0.0519,0.0522,1383483
1667451600000,0.052,0.0528,0.0513,0.0519,1807868
1667455200000,0.052,0.0521,0.0511,0.052,967477
1667458800000,0.0519,0.052,0.0513,0.0514,173011
1667462400000,0.0513,0.0515,0.051,0.051,508170
1667466000000,0.051,0.0513,0.0509,0.0513,394248
1667469600000,0.0513,0.052,0.0512,0.0516,558840
1667473200000,0.0517,0.0518,0.0509,0.0511,686374
1667476800000,0.0512,0.0515,0.0505,0.0506,560450
1667480400000,0.0506,0.0511,0.0506,0.0506,353681
1667484000000,0.0506,0.052,0.0503,0.0512,1910520
1667487600000,0.0512,0.0513,0.0508,0.051,179546
1667491200000,0.051,0.0511,0.0506,0.051,829268
1667494800000,0.051,0.0511,0.0508,0.051,164001
1667498400000,0.051,0.0515,0.0507,0.0514,518122
1667502000000,0.0515,0.0515,0.0511,0.0511,377090
1667505600000,0.0512,0.0513,0.0509,0.051,388870
1667509200000,0.051,0.0511,0.0509,0.051,74570
1667512800000,0.051,0.0512,0.0504,0.0505,602768
1667516400000,0.0505,0.0508,0.0502,0.0506,311866
1667520000000,0.0505,0.0509,0.0504,0.0507,160093
1667523600000,0.0508,0.051,0.0504,0.0509,475163
1667527200000,0.051,0.0531,0.0508,0.0528,1928409
1667530800000,0.0527,0.053,0.0516,0.0521,2050693
1667534400000,0.0521,0.0522,0.0517,0.0519,1005074
1667538000000,0.0519,0.0523,0.0518,0.0522,410961
1667541600000,0.0522,0.0527,0.0521,0.0526,445514
1667545200000,0.0525,0.0526,0.0522,0.0524,246715
1667548800000,0.0526,0.0528,0.0522,0.0526,468921
1667552400000,0.0527,0.0527,0.0522,0.0524,369974
1667556000000,0.0523,0.053,0.0521,0.0529,876315
1667559600000,0.0528,0.0529,0.0522,0.0523,252243
1667563200000,0.0523,0.0528,0.0516,0.0528,1043678
1667566800000,0.0529,0.0534,0.0524,0.0529,1189856
1667570400000,0.0529,0.0541,0.0529,0.0538,1043737
1667574000000,0.0536,0.0537,0.0522,0.0523,1278537
1667577600000,0.0523,0.0529,0.0521,0.0527,685498
1667581200000,0.0529,0.0532,0.0524,0.053,470641
1667584800000,0.0529,0.0567,0.0526,0.0543,7351314
1667588400000,0.0545,0.0552,0.054,0.0544,1093542
1667592000000,0.0545,0.0545,0.0536,0.0538,910266
1667595600000,0.0538,0.0541,0.0535,0.0538,446977
1667599200000,0.0538,0.0542,0.0538,0.0541,206171
1667602800000,0.054,0.0541,0.0531,0.0539,879119
1667606400000,0.0539,0.0547,0.0537,0.0547,636026
1667610000000,0.0548,0.0551,0.0547,0.0549,407287
1667613600000,0.0548,0.0548,0.0543,0.0546,340583
1667617200000,0.0546,0.0546,0.054,0.0543,546250
1667620800000,0.0544,0.0546,0.054,0.054,424487
1667624400000,0.054,0.0541,0.0536,0.0538,611136
1667628000000,0.0538,0.0544,0.0537,0.0543,392642
1667631600000,0.0542,0.0542,0.0537,0.0538,520467
1667635200000,0.0539,0.0539,0.0531,0.0535,513509
1667638800000,0.0534,0.0536,0.0531,0.0531,259082
1667642400000,0.0532,0.0534,0.0531,0.0533,331025
1667646000000,0.0532,0.054,0.0532,0.0538,588304
1667649600000,0.054,0.054,0.0535,0.0538,387357
1667653200000,0.0538,0.0542,0.0535,0.0537,246163
1667656800000,0.0536,0.0537,0.0529,0.053,693249
1667660400000,0.0529,0.0534,0.0529,0.0534,261801
1667664000000,0.0533,0.0534,0.0531,0.0534,469758
1667667600000,0.0534,0.0536,0.0532,0.0535,283650
1667671200000,0.0536,0.0536,0.0531,0.0533,391759
1667674800000,0.0532,0.0535,0.0531,0.0533,221368
1667678400000,0.0533,0.055,0.0532,0.0537,3497816
1667682000000,0.0539,0.054,0.0537,0.054,198134
1667685600000,0.0539,0.054,0.0539,0.054,82978
1667689200000,0.054,0.054,0.0534,0.0534,576248
1667692800000,0.0535,0.0538,0.0534,0.0537,216512
1667696400000,0.0536,0.0539,0.0534,0.0535,187787
1667700000000,0.0535,0.0547,0.0534,0.0535,1383887
1667703600000,0.0536,0.0537,0.0534,0.0537,106574
1667707200000,0.0537,0.0537,0.0535,0.0536,83904
1667710800000,0.0537,0.0537,0.0533,0.0534,143482
1667714400000,0.0533,0.0535,0.0532,0.0532,54752
1667718000000,0.0533,0.0533,0.0531,0.0531,253586
1667721600000,0.0532,0.0534,0.0529,0.0534,282116
1667725200000,0.0533,0.0536,0.0533,0.0534,188619
1667728800000,0.0533,0.0542,0.0533,0.0539,376598
1667732400000,0.0539,0.0539,0.0535,0.0537,165078
1667736000000,0.0538,0.0542,0.0537,0.0539,274152
1667739600000,0.054,0.054,0.0534,0.0536,397421
1667743200000,0.0536,0.0539,0.0534,0.0537,318926
1667746800000,0.0537,0.0542,0.0536,0.0538,367219
1667750400000,0.0537,0.0537,0.0528,0.0531,730186
1667754000000,0.0533,0.0549,0.053,0.0544,2446422
1667757600000,0.0543,0.0543,0.054,0.0541,319346
1667761200000,0.0541,0.0543,0.0538,0.0541,515769
1667764800000,0.0541,0.0544,0.0534,0.0536,1041454
1667768400000,0.0536,0.0537,0.0534,0.0534,156582
1667772000000,0.0535,0.0535,0.0529,0.0531,412942
1667775600000,0.0531,0.0532,0.051,0.0512,1032804
1667779200000,0.0512,0.0515,0.051,0.0511,262922
1667782800000,0.051,0.0521,0.0506,0.0517,954999
1667786400000,0.0518,0.052,0.0517,0.0519,118442
1667790000000,0.052,0.0524,0.0518,0.052,239288
1667793600000,0.052,0.0521,0.0516,0.0518,199673
1667797200000,0.0517,0.0518,0.0516,0.0517,104664
1667800800000,0.0517,0.055,0.0497,0.0515,12104580
1667804400000,0.0515,0.0517,0.0503,0.0503,1582410
1667808000000,0.0503,0.0506,0.0499,0.0506,913357
1667811600000,0.0505,0.051,0.0502,0.0506,635870
1667815200000,0.0506,0.0511,0.0505,0.0508,645192
1667818800000,0.0508,0.0512,0.0507,0.0509,271123
1667822400000,0.051,0.052,0.0509,0.0513,2598216
1667826000000,0.0513,0.0547,0.051,0.0512,7318860
1667829600000,0.0511,0.0515,0.0503,0.0506,1110282
1667833200000,0.0506,0.0513,0.0505,0.0513,619782
1667836800000,0.0513,0.0514,0.0508,0.0509,581218
1667840400000,0.051,0.0511,0.0508,0.0511,216519
1667844000000,0.0512,0.0515,0.0511,0.0513,294672
1667847600000,0.0513,0.052,0.0513,0.0518,296875
1667851200000,0.0518,0.0525,0.0518,0.052,340014
1667854800000,0.0521,0.0521,0.0516,0.0518,314753
1667858400000,0.0517,0.0517,0.0512,0.0515,675052
1667862000000,0.0515,0.0518,0.0511,0.0515,762535
1667865600000,0.0516,0.0517,0.0513,0.0513,208640
1667869200000,0.0515,0.0517,0.0514,0.0517,468363
1667872800000,0.0517,0.0521,0.0511,0.0511,285564
1667876400000,0.0511,0.0512,0.0491,0.0493,823122
1667880000000,0.0492,0.0494,0.0479,0.0484,1248459
1667883600000,0.0484,0.0485,0.0474,0.0477,895044
1667887200000,0.0476,0.0486,0.0472,0.0483,625130
1667890800000,0.0483,0.0488,0.0482,0.0487,270834
1667894400000,0.0487,0.0509,0.0484,0.0496,4518201
1667898000000,0.0498,0.0506,0.0498,0.0502,528844
1667901600000,0.05,0.0505,0.0499,0.0499,298014
1667905200000,0.0499,0.0538,0.0497,0.0522,6133731
1667908800000,0.0521,0.0533,0.0497,0.05,4663430
1667912400000,0.05,0.0539,0.0494,0.0523,8669796
1667916000000,0.0522,0.0659,0.0516,0.059,55214011
1667919600000,0.0591,0.0678,0.058,0.0593,48195927
1667923200000,0.0594,0.0616,0.0545,0.0549,25775605
