date,open,high,low,close,volume
1667005200000,0.0362,0.0362,0.036,0.0361,240697
1667008800000,0.0361,0.0362,0.036,0.0362,52541
1667012400000,0.0362,0.0365,0.0361,0.0362,335698
1667016000000,0.0363,0.0365,0.0361,0.0362,318873
1667019600000,0.0362,0.0362,0.0359,0.036,246022
1667023200000,0.036,0.038,0.036,0.0376,8725435
1667026800000,0.0376,0.0379,0.037,0.0372,2712453
1667030400000,0.0372,0.0377,0.037,0.0372,1538378
1667034000000,0.0373,0.0375,0.0371,0.0372,617673
1667037600000,0.0372,0.0374,0.0368,0.037,1507172
1667041200000,0.037,0.0374,0.0369,0.037,1174618
1667044800000,0.0369,0.0371,0.0368,0.037,784063
1667048400000,0.037,0.0374,0.0367,0.0368,1445033
1667052000000,0.0368,0.037,0.0365,0.0366,1129336
1667055600000,0.0367,0.0368,0.0364,0.0365,993920
1667059200000,0.0365,0.037,0.0364,0.0368,1969671
1667062800000,0.0368,0.0371,0.0366,0.0366,1909792
1667066400000,0.0366,0.0366,0.0363,0.0365,636137
1667070000000,0.0365,0.0368,0.0364,0.0365,1088149
1667073600000,0.0365,0.0367,0.0364,0.0366,790781
1667077200000,0.0365,0.0366,0.0363,0.0365,652752
1667080800000,0.0364,0.0366,0.0364,0.0365,437982
1667084400000,0.0364,0.0366,0.0364,0.0365,240991
1667088000000,0.0365,0.0367,0.0365,0.0367,195484
1667091600000,0.0366,0.0368,0.0364,0.0367,348401
1667095200000,0.0368,0.0368,0.0366,0.0367,194930
1667098800000,0.0368,0.0369,0.0367,0.0368,451813
1667102400000,0.0368,0.0369,0.0368,0.0369,277768
1667106000000,0.0369,0.0369,0.0365,0.0365,591786
1667109600000,0.0366,0.0379,0.0364,0.0379,4443676
1667113200000,0.0378,0.0385,0.0376,0.0382,3941898
1667116800000,0.0384,0.039,0.0375,0.0379,5421983
1667120400000,0.0379,0.0382,0.0372,0.0374,2134088
1667124000000,0.0374,0.0385,0.0372,0.0384,4847838
1667127600000,0.0385,0.0388,0.0378,0.0383,3012981
1667131200000,0.0383,0.0386,0.0378,0.0382,2577162
1667134800000,0.0382,0.0385,0.0377,0.0378,1638823
1667138400000,0.0377,0.0379,0.0372,0.0377,3024526
1667142000000,0.0376,0.0378,0.0369,0.0371,1100386
1667145600000,0.037,0.0374,0.0368,0.037,1442794
1667149200000,0.0369,0.037,0.0365,0.037,1453214
1667152800000,0.037,0.0371,0.0368,0.0371,490312
1667156400000,0.0371,0.0372,0.0369,0.0371,894725
1667160000000,0.037,0.0372,0.0369,0.037,811430
