date,open,high,low,close,volume
1667005200000,1.1492,1.1493,1.147,1.1488,2523
1667008800000,1.1488,1.1517,1.1487,1.15,9881
1667012400000,1.15,1.1553,1.149,1.1541,37038
1667016000000,1.1541,1.1573,1.1449,1.146,105877
1667019600000,1.1466,1.1523,1.1452,1.1498,17654
1667023200000,1.1498,1.1599,1.1476,1.151,100717
1667026800000,1.1517,1.1553,1.1481,1.1535,53308
1667030400000,1.1535,1.1634,1.1511,1.1619,213715
1667034000000,1.1618,1.1644,1.158,1.16,73544
1667037600000,1.1602,1.1614,1.143,1.1433,245814
1667041200000,1.1443,1.1487,1.143,1.1449,58453
1667044800000,1.1449,1.16,1.1431,1.1554,97918
1667048400000,1.1554,1.1562,1.1453,1.15,49539
1667052000000,1.1501,1.1524,1.1428,1.1433,56532
1667055600000,1.1447,1.1491,1.14,1.1438,90151
1667059200000,1.1434,1.1529,1.1434,1.1508,113420
1667062800000,1.1516,1.1517,1.1355,1.1384,169950
1667066400000,1.1381,1.1389,1.1341,1.1389,127034
1667070000000,1.1391,1.1427,1.135,1.1375,65684
1667073600000,1.1387,1.1406,1.1358,1.1364,40574
1667077200000,1.1363,1.147,1.1333,1.1446,165239
1667080800000,1.1445,1.15,1.1426,1.1426,79459
1667084400000,1.1426,1.149,1.1383,1.149,37159
1667088000000,1.1478,1.1485,1.1422,1.1424,9978
1667091600000,1.1434,1.146,1.1417,1.1459,9734
1667095200000,1.1459,1.1462,1.1418,1.1434,9621
1667098800000,1.1439,1.1494,1.1439,1.1492,26785
1667102400000,1.1484,1.15,1.1447,1.1459,48852
1667106000000,1.1457,1.1544,1.1456,1.1508,49672
1667109600000,1.1514,1.1549,1.1483,1.1542,33470
1667113200000,1.1539,1.17,1.1535,1.1645,153879
1667116800000,1.1645,1.1696,1.1522,1.1585,79600
1667120400000,1.1585,1.1599,1.145,1.1473,62404
1667124000000,1.1469,1.1531,1.141,1.148,56623
1667127600000,1.149,1.1544,1.1455,1.1524,38402
1667131200000,1.1517,1.1547,1.1469,1.1547,36095
1667134800000,1.1547,1.1582,1.146,1.1472,67731
1667138400000,1.1473,1.1552,1.145,1.1543,37410
1667142000000,1.1551,1.16,1.149,1.1513,79624
1667145600000,1.15,1.1572,1.1489,1.152,102593
1667149200000,1.1527,1.1585,1.1508,1.1562,25006
1667152800000,1.1562,1.185,1.1529,1.1756,495874
1667156400000,1.1757,1.1893,1.1723,1.189,171255
1667160000000,1.1874,1.1893,1.1776,1.1816,164247
1667163600000,1.1813,1.1842,1.1783,1.1798,45083
1667167200000,1.1798,1.1932,1.1741,1.1915,281925
1667170800000,1.1918,1.1937,1.186,1.188,72406
1667174400000,1.1886,1.19,1.1773,1.1855,89407
1667178000000,1.1849,1.1999,1.18,1.1982,125235
1667181600000,1.1982,1.1983,1.1873,1.1928,49162
1667185200000,1.1936,1.1996,1.1829,1.196,63459
