date,open,high,low,close,volume
1667005200000,6.82,6.83,6.71,6.71,82028.71
1667008800000,6.72,6.81,6.71,6.78,105445.21
1667012400000,6.78,6.95,6.78,6.9,193330.74
1667016000000,6.91,6.94,6.84,6.86,121083.25
1667019600000,6.85,6.9,6.82,6.86,85092.06
1667023200000,6.86,6.89,6.85,6.85,38247.27
1667026800000,6.86,6.92,6.83,6.9,68980.3
1667030400000,6.91,7.12,6.86,7.11,369376.23
1667034000000,7.11,7.13,7.06,7.07,130120.54
1667037600000,7.07,7.12,6.93,6.96,298693.12
1667041200000,6.97,6.98,6.88,6.92,145253.07
1667044800000,6.91,6.97,6.9,6.95,86765.85
1667048400000,6.95,6.96,6.83,6.95,228166.27
1667052000000,6.96,7.01,6.87,6.91,226787.52
1667055600000,6.9,6.98,6.89,6.97,165417.53
1667059200000,6.97,7.15,6.92,7.08,249023.9
1667062800000,7.08,7.24,6.98,7.04,337404.89
1667066400000,7.03,7.16,6.99,7.06,313490.21
1667070000000,7.07,7.07,6.96,7.06,97157.96
1667073600000,7.07,7.12,7.01,7.09,124267.03
1667077200000,7.09,7.13,7.03,7.03,58525.69
1667080800000,7.04,7.06,6.92,6.95,105822.32
1667084400000,6.96,7.1,6.94,7.1,108182.56
1667088000000,7.1,7.11,6.99,6.99,76063.64
1667091600000,7,7.25,6.99,7.24,203748.25
1667095200000,7.25,7.35,7.18,7.34,236953.01
1667098800000,7.34,7.37,7.27,7.29,129580.87
1667102400000,7.28,7.29,7.19,7.23,88933.14
1667106000000,7.23,7.29,7.22,7.24,101763.69
1667109600000,7.24,7.28,7.17,7.21,131204.8
1667113200000,7.21,7.31,7.19,7.27,132650.51
1667116800000,7.27,7.28,7.11,7.19,180798.48
1667120400000,7.18,7.2,7,7.03,120872.17
1667124000000,7.03,7.07,7.01,7.03,75391.43
1667127600000,7.03,7.09,7,7.08,74671.36
1667131200000,7.07,7.08,6.97,7.03,82073.91
1667134800000,7.03,7.05,6.92,6.95,104713.67
1667138400000,6.94,7.03,6.93,7.01,129853.58
1667142000000,7.01,7.03,6.86,6.9,158139.82
1667145600000,6.91,6.98,6.84,6.89,163109.95
1667149200000,6.89,6.94,6.87,6.93,68445.66
1667152800000,6.93,6.98,6.9,6.96,89596.74
1667156400000,6.96,6.98,6.94,6.94,33691.12
1667160000000,6.94,6.99,6.94,6.96,27614.16
1667163600000,6.95,7,6.94,6.97,35270.45
1667167200000,6.97,6.97,6.78,6.92,118222.38
1667170800000,6.93,6.94,6.87,6.89,81055.38
1667174400000,6.89,6.94,6.79,6.8,93204.44
1667178000000,6.81,6.83,6.74,6.78,118008.47
1667181600000,6.77,6.81,6.7,6.78,67565.83
1667185200000,6.77,6.87,6.77,6.87,49373.6
1667188800000,6.86,6.9,6.85,6.89,38870.45
1667192400000,6.89,6.92,6.87,6.9,56912.42
1667196000000,6.9,6.92,6.81,6.9,73637.33
1667199600000,6.91,6.92,6.84,6.9,47129.47
1667203200000,6.91,6.91,6.81,6.83,99793.08
1667206800000,6.83,7.06,6.82,7.04,124405.19
1667210400000,7.04,7.11,6.99,7.05,190018.31
1667214000000,7.04,7.11,7.04,7.08,114246.67
1667217600000,7.09,7.12,7.03,7.04,78655.83
1667221200000,7.05,7.13,6.82,6.83,198484.35
1667224800000,6.83,6.92,6.8,6.86,236759.21
1667228400000,6.85,6.93,6.83,6.9,91746.79
1667232000000,6.9,6.99,6.86,6.9,103072.86
1667235600000,6.89,6.93,6.86,6.89,56482.52
1667239200000,6.88,6.99,6.88,6.97,93813.36
1667242800000,6.98,6.98,6.87,6.89,45835.06
1667246400000,6.89,6.94,6.88,6.89,38799.95
1667250000000,6.89,6.91,6.84,6.86,48980.01
1667253600000,6.86,6.97,6.84,6.94,111915.33
1667257200000,6.94,6.99,6.91,6.96,98025.86
1667260800000,6.95,7.04,6.91,6.95,139009.39
1667264400000,6.96,7.01,6.93,6.99,58442.76
1667268000000,6.99,7.06,6.98,7.05,73422.02
1667271600000,7.05,7.07,6.98,6.99,59434.51
1667275200000,6.99,7.04,6.97,7.03,95487.73
1667278800000,7.03,7.08,7.02,7.06,95004.86
1667282400000,7.06,7.24,7.04,7.23,228038.78
1667286000000,7.23,7.33,7.18,7.21,229670.06
1667289600000,7.21,7.31,7.2,7.28,81188.39
1667293200000,7.29,7.32,7.23,7.23,170624.52
1667296800000,7.23,7.32,7.2,7.3,136792.53
1667300400000,7.31,7.31,7.19,7.2,188038.96
1667304000000,7.2,7.28,7.16,7.26,167085.79
1667307600000,7.26,7.46,7.21,7.34,588764.04
1667311200000,7.34,7.37,7.21,7.29,237389.96
1667314800000,7.29,7.31,7.2,7.24,289044.57
1667318400000,7.24,7.28,7.14,7.24,184204.61
1667322000000,7.23,7.26,7.2,7.24,98325.49
1667325600000,7.23,7.29,7.23,7.28,72264.21
1667329200000,7.29,7.3,7.22,7.23,42271.42
1667332800000,7.23,7.24,7.18,7.2,60387.43
1667336400000,7.19,7.2,7.15,7.16,68889.59
1667340000000,7.15,7.19,7.12,7.15,83459.25
1667343600000,7.14,7.17,7.11,7.12,49739.33
1667347200000,7.11,7.24,7.05,7.22,151660.42
1667350800000,7.21,7.26,7.18,7.2,94090.14
1667354400000,7.2,7.23,7.13,7.23,99688.43
1667358000000,7.23,7.25,7.16,7.21,123759.96
1667361600000,7.21,7.23,7.16,7.17,76255.65
1667365200000,7.17,7.23,7.15,7.16,97142.28
1667368800000,7.16,7.16,7,7.05,206315.72
1667372400000,7.05,7.05,6.89,6.97,322961.26
1667376000000,6.96,7.05,6.94,7.03,118701.68
1667379600000,7.03,7.07,6.9,6.91,140396.21
1667383200000,6.91,6.93,6.83,6.92,178842.51
1667386800000,6.92,6.97,6.91,6.93,67705.67
1667390400000,6.93,6.94,6.87,6.89,108491.65
1667394000000,6.89,6.95,6.87,6.91,145278.23
1667397600000,6.91,6.97,6.89,6.93,103459.2
1667401200000,6.93,6.93,6.88,6.9,50553.96
1667404800000,6.89,6.97,6.85,6.97,150647.91
1667408400000,6.97,6.97,6.86,6.91,117821.34
