date,open,high,low,close,volume
1667005200000,0.1332,0.1336,0.133,0.1332,26620
1667008800000,0.1333,0.1334,0.1332,0.1333,6939
1667012400000,0.1331,0.1342,0.1331,0.1342,68430
1667016000000,0.1342,0.1353,0.1337,0.1346,159899
1667019600000,0.1342,0.1346,0.1341,0.1341,10298
1667023200000,0.1342,0.1346,0.1334,0.1335,278680
1667026800000,0.1338,0.1342,0.1333,0.1341,84430
1667030400000,0.1339,0.1368,0.1337,0.1361,624950
1667034000000,0.1361,0.1368,0.135,0.1357,452238
1667037600000,0.1359,0.1361,0.1342,0.1342,268064
1667041200000,0.1343,0.135,0.1333,0.1338,351928
1667044800000,0.1338,0.1351,0.1333,0.1348,236131
1667048400000,0.1348,0.1349,0.1337,0.134,53441
1667052000000,0.1343,0.1344,0.1332,0.1341,165886
1667055600000,0.1341,0.1344,0.133,0.1338,130745
1667059200000,0.1335,0.138,0.1335,0.1361,820055
1667062800000,0.1363,0.137,0.1354,0.1354,302179
1667066400000,0.1354,0.1359,0.133,0.1345,392862
1667070000000,0.1345,0.1347,0.132,0.1345,333199
1667073600000,0.1343,0.1347,0.1342,0.1347,50355
1667077200000,0.1347,0.1359,0.1339,0.1349,177406
1667080800000,0.1349,0.1351,0.1338,0.1341,46355
1667084400000,0.1338,0.1348,0.1338,0.1341,40339
1667088000000,0.1341,0.1343,0.1332,0.1335,160199
1667091600000,0.1334,0.1336,0.1328,0.1335,67384
1667095200000,0.1335,0.1335,0.133,0.1334,46600
1667098800000,0.1334,0.134,0.1332,0.134,65737
1667102400000,0.134,0.1351,0.1331,0.1345,251748
1667106000000,0.1351,0.1354,0.1345,0.1351,85167
1667109600000,0.1349,0.1351,0.1345,0.1347,46858
1667113200000,0.1348,0.1354,0.1347,0.1352,138500
1667116800000,0.1352,0.1354,0.1345,0.1348,153147
1667120400000,0.1348,0.135,0.1334,0.1338,229734
1667124000000,0.1335,0.1342,0.1333,0.1338,172670
1667127600000,0.1337,0.1343,0.1334,0.134,78406
1667131200000,0.1339,0.1348,0.1337,0.1346,97080
1667134800000,0.1345,0.1349,0.1337,0.134,126256
1667138400000,0.134,0.1354,0.1337,0.1353,336805
1667142000000,0.1348,0.1354,0.1342,0.1346,170108
1667145600000,0.1348,0.135,0.1336,0.1341,72484
1667149200000,0.1344,0.136,0.1335,0.1356,168632
1667152800000,0.1356,0.1377,0.1353,0.1355,498504
1667156400000,0.1356,0.1372,0.1354,0.137,137598
1667160000000,0.1366,0.14,0.1359,0.1388,493848
1667163600000,0.1388,0.146,0.137,0.1397,3852882
1667167200000,0.1397,0.1401,0.1351,0.1391,1007289
1667170800000,0.1391,0.1391,0.1384,0.139,56420
1667174400000,0.1387,0.14,0.1378,0.1399,266766
1667178000000,0.1396,0.1416,0.1396,0.1397,346397
1667181600000,0.1397,0.1403,0.1391,0.1392,46760
1667185200000,0.1394,0.1406,0.1392,0.1406,206712
1667188800000,0.1406,0.144,0.1401,0.1416,394515
1667192400000,0.1416,0.1424,0.1408,0.1409,200466
1667196000000,0.1411,0.1411,0.138,0.1387,429588
1667199600000,0.1387,0.139,0.1376,0.1383,86605
1667203200000,0.138,0.1386,0.1365,0.1369,403091
1667206800000,0.1368,0.14,0.1368,0.1396,376550
1667210400000,0.1396,0.1398,0.1382,0.1391,282757
1667214000000,0.1391,0.1401,0.1391,0.1394,198730
1667217600000,0.1397,0.1401,0.139,0.1391,235517
1667221200000,0.1391,0.1395,0.1357,0.1361,438857
1667224800000,0.1359,0.1367,0.134,0.1348,921707
1667228400000,0.1348,0.1359,0.1346,0.1351,104502
1667232000000,0.1353,0.1362,0.1343,0.1349,128720
1667235600000,0.1353,0.1355,0.134,0.134,645476
1667239200000,0.1346,0.1347,0.134,0.1344,55306
1667242800000,0.1344,0.1351,0.1337,0.134,175729
1667246400000,0.134,0.1352,0.1339,0.1339,44758
1667250000000,0.1339,0.1349,0.1337,0.1347,234758
1667253600000,0.1344,0.135,0.1341,0.1345,29414
1667257200000,0.1345,0.1352,0.1343,0.1349,50522
1667260800000,0.1348,0.1361,0.1343,0.1354,229168
1667264400000,0.1354,0.1357,0.1351,0.1355,47999
1667268000000,0.1356,0.1362,0.135,0.1361,47457
1667271600000,0.1359,0.1367,0.1349,0.1354,44647
1667275200000,0.1355,0.1355,0.1348,0.1349,22306
1667278800000,0.135,0.1352,0.1336,0.1339,453613
1667282400000,0.1339,0.1355,0.1336,0.1353,168935
1667286000000,0.1351,0.1358,0.1343,0.1353,335799
1667289600000,0.135,0.1367,0.135,0.1353,185201
1667293200000,0.1352,0.1366,0.1351,0.1361,123335
1667296800000,0.136,0.1369,0.135,0.1367,242497
1667300400000,0.1367,0.1371,0.1358,0.1364,67850
1667304000000,0.1365,0.138,0.136,0.1369,138312
1667307600000,0.1369,0.1378,0.1347,0.1356,150412
1667311200000,0.1351,0.1353,0.1336,0.1353,258703
1667314800000,0.1343,0.1366,0.1342,0.1358,237711
1667318400000,0.136,0.1361,0.1355,0.1355,10784
1667322000000,0.1358,0.1366,0.1342,0.1366,216632
1667325600000,0.1364,0.1366,0.1355,0.1364,77537
1667329200000,0.1366,0.1377,0.1362,0.1371,148784
1667332800000,0.137,0.1373,0.1363,0.1366,39603
1667336400000,0.1366,0.1374,0.1362,0.1362,49251
1667340000000,0.1362,0.1371,0.1362,0.1369,13745
1667343600000,0.1366,0.1366,0.1354,0.1358,119595
1667347200000,0.1358,0.1366,0.1356,0.1365,51883
1667350800000,0.1367,0.1367,0.1361,0.1366,21327
1667354400000,0.1364,0.1368,0.1357,0.1366,52973
1667358000000,0.1366,0.1372,0.1366,0.1372,50444
1667361600000,0.1371,0.1392,0.1367,0.1392,313445
1667365200000,0.1392,0.1495,0.1388,0.1419,4063150
1667368800000,0.1418,0.1425,0.1382,0.1397,716637
1667372400000,0.1403,0.1413,0.1381,0.1411,558917
1667376000000,0.1413,0.1421,0.1397,0.1404,370502
