date,open,high,low,close,volume
1667005200000,0.391,0.391,0.388,0.39,54063
1667008800000,0.39,0.391,0.389,0.389,102323
1667012400000,0.389,0.393,0.389,0.392,159594.6
1667016000000,0.391,0.392,0.39,0.391,74913
1667019600000,0.391,0.395,0.39,0.393,220245.6
1667023200000,0.393,0.395,0.391,0.394,160237.4
1667026800000,0.393,0.395,0.392,0.394,116421.4
1667030400000,0.393,0.394,0.391,0.393,234359.9
1667034000000,0.393,0.394,0.391,0.393,144309
1667037600000,0.393,0.394,0.389,0.39,193963.5
1667041200000,0.39,0.392,0.388,0.388,141475.2
1667044800000,0.388,0.392,0.388,0.39,70995
1667048400000,0.39,0.391,0.388,0.39,132779.7
1667052000000,0.39,0.391,0.388,0.389,149488.7
1667055600000,0.388,0.389,0.385,0.388,249598.4
1667059200000,0.386,0.39,0.384,0.386,342787.7
1667062800000,0.386,0.39,0.382,0.383,256041.6
1667066400000,0.383,0.385,0.381,0.384,191072.3
1667070000000,0.384,0.394,0.383,0.389,347247.1
1667073600000,0.388,0.388,0.384,0.386,130974.9
1667077200000,0.385,0.386,0.383,0.384,125612.5
1667080800000,0.385,0.386,0.384,0.384,81641.3
1667084400000,0.384,0.385,0.383,0.384,33402.6
1667088000000,0.384,0.387,0.383,0.385,121288.6
1667091600000,0.385,0.387,0.384,0.385,182352.6
1667095200000,0.386,0.387,0.385,0.385,28151.2
1667098800000,0.385,0.386,0.383,0.383,78111.3
1667102400000,0.384,0.384,0.383,0.384,23993.7
1667106000000,0.383,0.387,0.382,0.387,158340.8
1667109600000,0.386,0.387,0.384,0.385,60243.9
1667113200000,0.385,0.389,0.384,0.387,88701.4
1667116800000,0.387,0.388,0.385,0.387,169557.8
1667120400000,0.386,0.39,0.384,0.385,114252.7
1667124000000,0.384,0.388,0.384,0.385,96795.2
1667127600000,0.385,0.387,0.384,0.387,118434.2
1667131200000,0.387,0.387,0.384,0.384,49196.2
1667134800000,0.385,0.387,0.383,0.385,99226.4
1667138400000,0.384,0.385,0.382,0.383,91830.9
1667142000000,0.383,0.386,0.383,0.385,289198.3
1667145600000,0.384,0.386,0.383,0.383,106202
1667149200000,0.384,0.39,0.382,0.384,543081.5
1667152800000,0.383,0.384,0.381,0.383,91707.4
1667156400000,0.382,0.385,0.382,0.383,43691.6
1667160000000,0.384,0.385,0.382,0.382,71028
1667163600000,0.383,0.385,0.383,0.383,56892.9
1667167200000,0.384,0.384,0.381,0.382,92632.5
1667170800000,0.382,0.383,0.381,0.382,25506.6
1667174400000,0.382,0.384,0.382,0.383,23592.4
1667178000000,0.383,0.384,0.381,0.382,77283.8
1667181600000,0.382,0.382,0.38,0.381,37892.9
1667185200000,0.381,0.382,0.38,0.382,38876.7
1667188800000,0.383,0.384,0.381,0.382,72636.2
1667192400000,0.383,0.388,0.381,0.382,229717.1
1667196000000,0.382,0.384,0.381,0.383,68497.4
1667199600000,0.382,0.383,0.38,0.381,161816.7
1667203200000,0.381,0.382,0.38,0.382,81632.5
1667206800000,0.382,0.384,0.381,0.383,193308.7
1667210400000,0.383,0.385,0.382,0.384,124344.2
1667214000000,0.384,0.385,0.382,0.383,76511.5
1667217600000,0.384,0.385,0.382,0.383,107502
1667221200000,0.382,0.384,0.374,0.375,190718.7
1667224800000,0.374,0.376,0.366,0.374,453554.4
1667228400000,0.374,0.377,0.372,0.375,145776.9
1667232000000,0.375,0.376,0.372,0.374,122004.8
1667235600000,0.374,0.389,0.372,0.387,621260.2
1667239200000,0.388,0.39,0.38,0.384,402779.4
1667242800000,0.384,0.386,0.382,0.383,135347.5
1667246400000,0.383,0.384,0.38,0.382,100965.6
1667250000000,0.381,0.383,0.38,0.382,96055.7
1667253600000,0.383,0.383,0.381,0.381,23977.1
1667257200000,0.381,0.382,0.381,0.382,22745.4
1667260800000,0.382,0.383,0.38,0.383,29723.8
1667264400000,0.383,0.404,0.38,0.387,894466.8
1667268000000,0.387,0.392,0.385,0.387,258508.4
1667271600000,0.387,0.399,0.386,0.386,345561.6
1667275200000,0.387,0.397,0.387,0.391,322209.6
1667278800000,0.391,0.391,0.387,0.388,114027.8
1667282400000,0.39,0.44,0.388,0.429,2939453
1667286000000,0.428,0.431,0.407,0.413,2381447.4
1667289600000,0.413,0.431,0.412,0.424,1769113.2
1667293200000,0.424,0.429,0.401,0.401,1569138.5
1667296800000,0.401,0.406,0.397,0.401,470169.6
1667300400000,0.401,0.415,0.395,0.413,833069.2
1667304000000,0.413,0.413,0.399,0.403,532231.9
1667307600000,0.403,0.405,0.396,0.401,230900.3
1667311200000,0.4,0.409,0.393,0.401,526726.7
1667314800000,0.402,0.408,0.397,0.398,361778.4
1667318400000,0.397,0.401,0.397,0.4,179761.1
1667322000000,0.4,0.404,0.397,0.397,297381.2
1667325600000,0.398,0.412,0.394,0.396,1277300.2
1667329200000,0.396,0.397,0.391,0.391,267251.8
1667332800000,0.391,0.392,0.388,0.39,195357.3
1667336400000,0.39,0.395,0.388,0.389,137416.6
1667340000000,0.388,0.39,0.387,0.387,72327.4
1667343600000,0.387,0.393,0.387,0.389,138288.1
1667347200000,0.389,0.39,0.384,0.385,211034.9
1667350800000,0.385,0.388,0.384,0.385,114322.3
1667354400000,0.385,0.387,0.384,0.385,52229.2
1667358000000,0.385,0.389,0.385,0.386,98467.7
1667361600000,0.385,0.387,0.38,0.382,238054.5
1667365200000,0.381,0.385,0.38,0.383,199735.1
1667368800000,0.382,0.384,0.372,0.377,579630.6
1667372400000,0.377,0.379,0.372,0.377,367466.6
1667376000000,0.377,0.383,0.377,0.383,296778.6
1667379600000,0.383,0.383,0.375,0.376,154041.5
1667383200000,0.375,0.376,0.37,0.374,157727.1
1667386800000,0.374,0.376,0.372,0.375,100566.7
1667390400000,0.376,0.378,0.373,0.373,83231.3
1667394000000,0.374,0.377,0.372,0.373,78431.4
1667397600000,0.373,0.382,0.373,0.38,295853.4
1667401200000,0.379,0.379,0.375,0.375,80469.6
1667404800000,0.376,0.376,0.372,0.376,114314.8
1667408400000,0.376,0.379,0.374,0.377,76386.1
1667412000000,0.376,0.387,0.375,0.378,449960.3
1667415600000,0.378,0.381,0.373,0.374,193274.9
1667419200000,0.374,0.374,0.367,0.372,177659
1667422800000,0.372,0.372,0.368,0.369,110791.9
1667426400000,0.37,0.371,0.368,0.37,62725.6
1667430000000,0.37,0.372,0.369,0.37,89598.4
1667433600000,0.371,0.374,0.37,0.373,48799.9
1667437200000,0.373,0.375,0.373,0.374,47941.5
1667440800000,0.375,0.376,0.373,0.375,115397.8
1667444400000,0.375,0.378,0.374,0.377,68083.2
1667448000000,0.377,0.379,0.375,0.376,80901
1667451600000,0.376,0.378,0.372,0.376,187447.4
1667455200000,0.376,0.378,0.375,0.378,55197.3
1667458800000,0.378,0.38,0.376,0.379,148338.3
1667462400000,0.378,0.38,0.374,0.377,173960.7
1667466000000,0.377,0.377,0.374,0.376,146239.9
1667469600000,0.377,0.379,0.376,0.377,118683
1667473200000,0.377,0.381,0.374,0.375,280238.8
1667476800000,0.375,0.377,0.373,0.375,90939.4
1667480400000,0.374,0.376,0.373,0.373,98271.6
1667484000000,0.373,0.378,0.373,0.376,158030
1667487600000,0.375,0.377,0.373,0.376,114728.1
1667491200000,0.376,0.381,0.376,0.379,196560.8
1667494800000,0.379,0.379,0.372,0.373,289791.7
1667498400000,0.373,0.376,0.372,0.376,180513.5
1667502000000,0.375,0.376,0.373,0.375,73570.5
1667505600000,0.375,0.377,0.374,0.375,100142.6
1667509200000,0.376,0.377,0.375,0.376,34539.9
1667512800000,0.376,0.376,0.371,0.372,121182.6
1667516400000,0.372,0.373,0.369,0.371,118353.8
1667520000000,0.371,0.373,0.369,0.373,71334.1
1667523600000,0.372,0.373,0.37,0.372,83246.1
1667527200000,0.372,0.375,0.372,0.372,57806.2
1667530800000,0.373,0.374,0.371,0.373,72341.6
1667534400000,0.373,0.374,0.371,0.373,111213
1667538000000,0.373,0.374,0.37,0.373,136968.3
1667541600000,0.373,0.376,0.372,0.375,93654
1667545200000,0.376,0.381,0.375,0.378,208061.5
1667548800000,0.379,0.38,0.374,0.375,124599.5
1667552400000,0.375,0.378,0.374,0.377,114297.5
1667556000000,0.377,0.378,0.374,0.378,181836.3
1667559600000,0.377,0.377,0.374,0.376,152717.5
1667563200000,0.375,0.377,0.372,0.376,198260.8
1667566800000,0.376,0.378,0.375,0.375,158170.4
1667570400000,0.376,0.387,0.375,0.386,551999.7
