date,open,high,low,close,volume
1667005200000,0.407,0.4125,0.4062,0.41,83274.2
1667008800000,0.41,0.4221,0.41,0.4131,688752.7
1667012400000,0.4141,0.4182,0.4119,0.4137,155236
1667016000000,0.4137,0.4137,0.4059,0.4127,328809.9
1667019600000,0.4112,0.4125,0.4001,0.4023,327711.9
1667023200000,0.4023,0.4059,0.3973,0.3978,316708.7
1667026800000,0.3988,0.4041,0.3979,0.4023,109421.3
1667030400000,0.4012,0.4038,0.395,0.4012,531598.3
1667034000000,0.4021,0.4107,0.4,0.4084,475630.1
1667037600000,0.4081,0.4114,0.4071,0.4072,157584.3
1667041200000,0.4073,0.4092,0.4024,0.4036,131229.1
1667044800000,0.4025,0.4045,0.4005,0.4023,81444.5
1667048400000,0.4009,0.4047,0.4008,0.4037,126060.7
1667052000000,0.4047,0.41,0.4037,0.4043,224807.6
1667055600000,0.4045,0.4069,0.3917,0.3945,639432.4
1667059200000,0.3949,0.4157,0.3895,0.415,997753.3
1667062800000,0.4146,0.4157,0.4018,0.4018,301900
1667066400000,0.4017,0.4035,0.3991,0.4006,96269.4
1667070000000,0.4,0.4069,0.4,0.4005,137375.5
1667073600000,0.4006,0.4058,0.3998,0.4047,104462.5
1667077200000,0.4037,0.413,0.4037,0.4071,161158.4
1667080800000,0.4071,0.4083,0.4057,0.4083,24311.1
1667084400000,0.4068,0.418,0.4067,0.4155,248951.9
1667088000000,0.4155,0.4445,0.4155,0.4299,1210576
1667091600000,0.4296,0.4442,0.4254,0.4335,848596.5
1667095200000,0.4349,0.4466,0.4301,0.4327,783585.7
1667098800000,0.4332,0.436,0.4312,0.4351,57317
1667102400000,0.4351,0.4441,0.4331,0.4366,176698.7
1667106000000,0.4367,0.4387,0.428,0.4287,319546.1
1667109600000,0.4287,0.445,0.4266,0.4416,489793.5
1667113200000,0.4416,0.465,0.4388,0.4435,2684382.3
1667116800000,0.4441,0.4453,0.4341,0.4363,427635.1
1667120400000,0.4363,0.458,0.4311,0.4451,1006092.4
1667124000000,0.4438,0.4727,0.4421,0.46,1795051.6
1667127600000,0.46,0.4963,0.4595,0.4804,4005246.3
1667131200000,0.4791,0.49,0.4619,0.464,1736370.1
1667134800000,0.4641,0.4841,0.4564,0.4642,1368070.6
1667138400000,0.4642,0.4878,0.463,0.4693,1074683.5
1667142000000,0.4693,0.544,0.4674,0.5123,8054682.6
1667145600000,0.5123,0.53,0.4768,0.4782,5084057.6
1667149200000,0.4789,0.4917,0.4721,0.4846,1112633.5
1667152800000,0.4846,0.4976,0.4616,0.4685,1728951.9
1667156400000,0.4673,0.4828,0.4659,0.4712,540612.6
1667160000000,0.471,0.4722,0.4542,0.4641,616923.1
1667163600000,0.465,0.4673,0.4559,0.4592,207914.2
1667167200000,0.4579,0.4748,0.4569,0.4699,347882.3
1667170800000,0.47,0.4799,0.4577,0.4615,925468.6
1667174400000,0.4614,0.4864,0.4586,0.4759,846157
1667178000000,0.476,0.4788,0.441,0.4543,1134271.7
1667181600000,0.4535,0.4731,0.4452,0.4731,1441014.4
1667980800000,0.044,0.05333,0.02272,0.02511,175821916
1667984400000,0.02481,0.02985,0.0212,0.02355,65485693
1667988000000,0.02355,0.025,0.02258,0.02445,35227664
1667991600000,0.02445,0.02636,0.02395,0.02532,20704320
1667995200000,0.02532,0.0269,0.02449,0.02478,16746147
1667998800000,0.02481,0.02519,0.02345,0.02455,9239781
1668002400000,0.02469,0.0255,0.0236,0.02509,9878939
1668006000000,0.02503,0.02525,0.02263,0.02303,11642484
1668009600000,0.0229,0.0242,0.0211,0.02287,15234930
1668013200000,0.02298,0.02312,0.02201,0.02261,5587007
1668016800000,0.02266,0.02317,0.0214,0.02233,8810091
1668020400000,0.02233,0.02624,0.0223,0.02472,16440846
1668024000000,0.02492,0.02579,0.02384,0.02438,8639511
1668027600000,0.02446,0.02446,0.02248,0.02344,10737561
1668031200000,0.02325,0.0248,0.0225,0.0248,7150348
1668034800000,0.0248,0.0249,0.02295,0.02424,7255222
1668038400000,0.02423,0.0245,0.02353,0.0245,4158939
1668042000000,0.02436,0.0255,0.02377,0.02416,4356968
1668045600000,0.02411,0.0251,0.02359,0.02451,3416230
1668049200000,0.02457,0.0258,0.02456,0.02547,3232805
1668052800000,0.02547,0.0265,0.02504,0.02635,3391243
1668056400000,0.02639,0.03155,0.02562,0.03022,28064844
1668060000000,0.03026,0.03073,0.02574,0.02688,38705120
1668063600000,0.02681,0.02895,0.0253,0.02783,20893303
1668067200000,0.02783,0.03,0.026,0.02809,37942349
1668070800000,0.02807,0.0287,0.02602,0.02698,19375530
1668074400000,0.02698,0.02722,0.0255,0.02565,12915550
1668078000000,0.02566,0.02624,0.02391,0.02519,20778701
1668081600000,0.02514,0.02541,0.0244,0.0251,5558474
1668085200000,0.0251,0.0263,0.02475,0.0261,11337161
1668088800000,0.0261,0.02641,0.02553,0.02584,8012266
1668092400000,0.02581,0.02829,0.0255,0.02806,24300640
1668096000000,0.02814,0.03,0.0272,0.02746,32585546
1668099600000,0.02746,0.029,0.0252,0.026,16780617
1668103200000,0.02585,0.02701,0.02585,0.02659,5023674
1668106800000,0.02659,0.02749,0.02654,0.0272,2966358
1668110400000,0.0272,0.02751,0.02599,0.02744,3669014
1668114000000,0.02744,0.02757,0.02661,0.02706,3764559
1668117600000,0.02709,0.0271,0.02642,0.0269,2582954
1668121200000,0.02703,0.0274,0.0268,0.0269,3331676
1668124800000,0.02684,0.02711,0.02605,0.02707,5423461
1668128400000,0.02707,0.02724,0.02433,0.02518,11155555
1668132000000,0.02506,0.02518,0.0241,0.02464,4436409
1668135600000,0.02488,0.02488,0.02457,0.02471,1333488
1668139200000,0.0247,0.0253,0.02449,0.02469,3875130
1668142800000,0.02471,0.02598,0.02462,0.02589,3922148
1668146400000,0.02589,0.02629,0.02554,0.02605,3547830
1668150000000,0.02606,0.02625,0.02573,0.02607,2928506
1668153600000,0.02597,0.02658,0.02555,0.02652,7486763
1668157200000,0.02645,0.02814,0.02612,0.0269,12722609
1668160800000,0.02694,0.02764,0.02683,0.02724,5010863
1668164400000,0.02724,0.02757,0.02613,0.02643,6825824
1668168000000,0.02647,0.027,0.02599,0.02657,5579996
1668171600000,0.02657,0.02673,0.02561,0.0258,3292216
1668175200000,0.0258,0.02588,0.022,0.02336,27580987
1668178800000,0.02336,0.02427,0.0228,0.0233,12736350
1668182400000,0.0233,0.02347,0.02219,0.02341,7260866
1668186000000,0.0234,0.02378,0.02296,0.02357,3110266
1668189600000,0.02356,0.0239,0.02272,0.02313,7832500
1668193200000,0.02314,0.02328,0.02283,0.02318,2012709
1668196800000,0.02318,0.02323,0.02287,0.02288,1949216
1668200400000,0.02293,0.02342,0.02292,0.02334,1307738
1668204000000,0.0233,0.02381,0.023,0.0233,2829094
1668207600000,0.02331,0.02394,0.02291,0.02387,4226111
1668211200000,0.02387,0.02394,0.02222,0.02279,8028236
1668214800000,0.02281,0.0235,0.02225,0.02277,3898916
1668218400000,0.02273,0.02311,0.02251,0.02275,2239670
1668222000000,0.02273,0.0232,0.02262,0.02281,2866864
1668225600000,0.02279,0.02293,0.02032,0.02131,18909086
1668229200000,0.02121,0.02122,0.019,0.01973,16104123
1668232800000,0.01977,0.02125,0.01933,0.02125,7530321
1668236400000,0.02124,0.02139,0.02045,0.02095,5412818
1668240000000,0.02087,0.02115,0.0203,0.02104,4853498
1668243600000,0.02103,0.0218,0.02078,0.02099,5748204
1668247200000,0.02116,0.02151,0.02075,0.02101,4488676
1668250800000,0.02104,0.0211,0.0205,0.02077,3309169
1668254400000,0.0208,0.02113,0.02071,0.02097,2620362
1668258000000,0.02097,0.02101,0.02053,0.0208,2760650
1668261600000,0.02079,0.02117,0.02051,0.02098,2250413
1668265200000,0.02102,0.02137,0.02096,0.02119,2545167
1668268800000,0.02113,0.0212,0.02046,0.02076,8881716
1668272400000,0.02069,0.02091,0.02035,0.02042,3947229
1668276000000,0.02041,0.02047,0.01989,0.02019,6991738
1668279600000,0.02019,0.02047,0.01922,0.01995,9621139
1668283200000,0.01993,0.02023,0.01982,0.01998,3085463
1668286800000,0.02,0.02053,0.01992,0.02037,3713027
1668290400000,0.02045,0.02061,0.02005,0.02013,1736363
1668294000000,0.02016,0.02028,0.01994,0.02009,1387908
1668297600000,0.0201,0.02044,0.01999,0.02014,2259430
1668301200000,0.02014,0.02021,0.01951,0.01967,2477599
1668304800000,0.01967,0.01994,0.0195,0.01969,2090912
1668308400000,0.01971,0.01994,0.01957,0.01975,1562435
