date,open,high,low,close,volume
1667005200000,0.2394,0.2394,0.2384,0.2385,34579.7
1667008800000,0.2385,0.2393,0.2384,0.2384,78949.1
1667012400000,0.2384,0.2405,0.2379,0.2405,391288.9
1667016000000,0.2405,0.2419,0.24,0.2411,205981.2
1667019600000,0.2416,0.2437,0.2404,0.2422,336007.6
1667023200000,0.2431,0.2439,0.2405,0.2423,354938.1
1667026800000,0.2421,0.2446,0.2416,0.2442,402441.2
1667030400000,0.2439,0.2458,0.2429,0.2453,1119574.1
1667034000000,0.245,0.2465,0.244,0.2445,363814.7
1667037600000,0.2445,0.2445,0.239,0.2401,694558.1
1667041200000,0.2398,0.2411,0.239,0.2396,395569
1667044800000,0.2395,0.2404,0.2378,0.2393,238573.9
1667048400000,0.2394,0.2399,0.2375,0.2392,424320.5
1667052000000,0.2392,0.24,0.2371,0.2377,259422.7
1667055600000,0.2375,0.2389,0.2358,0.2371,808892.3
1667059200000,0.2369,0.2412,0.2365,0.2395,623115.5
1667062800000,0.2397,0.244,0.2391,0.2399,1168732.8
1667066400000,0.2399,0.2404,0.2371,0.2386,349042.2
1667070000000,0.2386,0.239,0.2369,0.239,237063.3
1667073600000,0.239,0.2408,0.2386,0.2404,240358.1
1667077200000,0.2406,0.2471,0.2404,0.244,1035272.4
1667080800000,0.2442,0.2487,0.2429,0.243,628795.5
1667084400000,0.2428,0.2471,0.2418,0.2451,358065.9
1667088000000,0.2458,0.2471,0.2432,0.2444,110717.9
1667091600000,0.2443,0.2455,0.2432,0.2444,48579
1667095200000,0.2444,0.2455,0.244,0.2449,51350.7
1667098800000,0.2447,0.2458,0.2447,0.2452,37425.7
1667102400000,0.2453,0.2455,0.2418,0.2428,193479.1
1667106000000,0.2428,0.2435,0.2418,0.2424,82264.3
1667109600000,0.2422,0.2497,0.2418,0.2496,1053114.8
1667113200000,0.2496,0.255,0.2455,0.2532,2825562.7
1667116800000,0.2532,0.2569,0.2465,0.2502,1763772.6
1667120400000,0.2504,0.2522,0.2443,0.2469,693891
1667124000000,0.2468,0.247,0.244,0.2455,526864.5
1667127600000,0.2455,0.2476,0.245,0.2472,162581.2
1667131200000,0.2471,0.2493,0.245,0.2455,259599.4
1667134800000,0.2455,0.2455,0.2413,0.2419,525406.4
1667138400000,0.242,0.2433,0.2414,0.2431,245810
1667142000000,0.2431,0.2436,0.2401,0.2422,438058
1667145600000,0.2422,0.2512,0.2374,0.2442,2627418.2
1667149200000,0.2444,0.2465,0.2435,0.2448,280238.1
1667152800000,0.2447,0.2474,0.2439,0.2461,364687.6
1667156400000,0.2461,0.2479,0.2452,0.2461,129150.1
1667160000000,0.2464,0.2615,0.2455,0.2466,2174335.1
1667163600000,0.2466,0.2479,0.2441,0.2448,233159.2
1667167200000,0.2444,0.2447,0.2401,0.2419,430992.7
1667170800000,0.2419,0.2423,0.2401,0.241,155923.7
1667174400000,0.241,0.243,0.24,0.24,128474.9
1667178000000,0.2401,0.2407,0.2359,0.2363,390101.6
1667181600000,0.2363,0.2369,0.2335,0.2349,411718.5
1667185200000,0.235,0.2364,0.2343,0.2361,52496.5
1667188800000,0.2362,0.2383,0.2361,0.2372,292996.4
1667192400000,0.2373,0.2374,0.2358,0.2361,162306.9
1667196000000,0.2361,0.2378,0.2355,0.2373,288020.9
1667199600000,0.2375,0.238,0.2364,0.2373,118762.8
1667203200000,0.2372,0.2378,0.236,0.237,109426.6
1667206800000,0.237,0.2402,0.2361,0.2397,171195.7
1667210400000,0.2399,0.2408,0.2387,0.2401,213686
1667214000000,0.2403,0.2427,0.2403,0.2424,186875.8
1667217600000,0.2424,0.245,0.2417,0.2417,374408.4
1667221200000,0.2417,0.2447,0.235,0.237,700500
1667224800000,0.2363,0.2395,0.235,0.2369,507747.2
1667228400000,0.237,0.2378,0.233,0.2366,187092.1
1667232000000,0.2368,0.2378,0.2336,0.2344,316435
1667235600000,0.2344,0.2351,0.2327,0.2338,405741.3
1667239200000,0.234,0.2364,0.2339,0.2353,710554
1667242800000,0.2351,0.2352,0.2335,0.2344,103998.7
1667246400000,0.2345,0.2352,0.2331,0.2345,179189.2
1667250000000,0.2343,0.2347,0.2332,0.2345,112818.6
1667253600000,0.2346,0.2367,0.2334,0.2353,110858.3
