date,open,high,low,close,volume
1667005200000,3.32,3.324,3.299,3.3,53754.8
1667008800000,3.299,3.317,3.295,3.312,43402.56
1667012400000,3.311,3.36,3.309,3.35,157332.66
1667016000000,3.351,3.368,3.324,3.327,134770.5
1667019600000,3.327,3.343,3.318,3.325,74640.76
1667023200000,3.325,3.351,3.324,3.332,76402.01
1667026800000,3.333,3.358,3.331,3.355,87962.94
1667030400000,3.355,3.372,3.339,3.371,184298.22
1667034000000,3.371,3.386,3.349,3.361,217865.77
1667037600000,3.361,3.373,3.31,3.316,232027.85
1667041200000,3.315,3.34,3.292,3.31,75613.32
1667044800000,3.31,3.345,3.302,3.341,89746.15
1667048400000,3.342,3.344,3.298,3.327,82056.12
1667052000000,3.327,3.354,3.318,3.321,147850.17
1667055600000,3.323,3.35,3.319,3.345,173779.81
1667059200000,3.345,3.42,3.342,3.399,311356.9
1667062800000,3.398,3.462,3.341,3.368,493212.15
1667066400000,3.367,3.399,3.343,3.379,242001.57
1667070000000,3.381,3.383,3.324,3.356,77794.18
1667073600000,3.356,3.378,3.349,3.36,58653.12
1667077200000,3.358,3.368,3.345,3.345,50556.91
1667080800000,3.345,3.354,3.293,3.316,116816.37
1667084400000,3.316,3.346,3.298,3.344,111987.71
1667088000000,3.343,3.712,3.342,3.544,2398843.61
1667091600000,3.544,3.579,3.474,3.564,473983.27
1667095200000,3.565,3.565,3.505,3.522,179365.79
1667098800000,3.522,3.793,3.522,3.748,966822.56
1667102400000,3.75,3.869,3.623,3.811,1364264.08
1667106000000,3.812,3.88,3.692,3.708,1655469.44
1667109600000,3.708,3.941,3.68,3.903,1563683.55
1667113200000,3.902,3.903,3.755,3.784,850694.09
1667116800000,3.785,3.805,3.607,3.647,864234.48
1667120400000,3.648,3.693,3.542,3.569,407421.24
1667124000000,3.57,3.621,3.557,3.599,165255.48
1667127600000,3.6,3.826,3.574,3.656,480006.55
1667131200000,3.655,3.674,3.596,3.627,389609.04
1667134800000,3.628,3.635,3.514,3.53,384809.62
1667138400000,3.529,3.569,3.515,3.529,326298.48
1667142000000,3.53,3.564,3.461,3.473,330058.26
1667145600000,3.472,3.501,3.436,3.46,221276.34
1667149200000,3.46,3.499,3.452,3.493,142665.13
1667152800000,3.493,3.512,3.48,3.495,104357.92
1667156400000,3.496,3.529,3.484,3.509,125831.91
1667160000000,3.51,3.521,3.487,3.515,99211.22
1667163600000,3.516,3.53,3.5,3.53,157627.22
