date,open,high,low,close,volume
1667005200000,0.0837,0.0838,0.0835,0.0838,456166
1667008800000,0.0837,0.0839,0.0836,0.0839,48057
1667012400000,0.0839,0.0843,0.0837,0.0843,198098
1667016000000,0.0842,0.0843,0.0837,0.0838,328054
1667019600000,0.0838,0.0843,0.0837,0.0838,273180
1667023200000,0.0838,0.084,0.0837,0.0838,146867
1667026800000,0.0838,0.084,0.0837,0.084,50110
1667030400000,0.0839,0.0849,0.0839,0.0845,648350
1667034000000,0.0844,0.0851,0.0844,0.0845,321557
1667037600000,0.0846,0.085,0.0839,0.0839,523128
1667041200000,0.0839,0.0841,0.0835,0.0837,247720
1667044800000,0.0835,0.084,0.0835,0.0839,97215
1667048400000,0.084,0.0848,0.0828,0.0831,2700947
1667052000000,0.0832,0.0837,0.083,0.083,146674
1667055600000,0.083,0.0843,0.083,0.0843,643307
1667059200000,0.0841,0.0848,0.0841,0.0847,605245
1667062800000,0.0845,0.0853,0.0841,0.0842,713168
1667066400000,0.0842,0.0845,0.084,0.0841,258058
1667070000000,0.0842,0.0842,0.0839,0.0841,77412
1667073600000,0.0841,0.0845,0.084,0.0844,127476
1667077200000,0.0844,0.0846,0.0841,0.0842,164814
1667080800000,0.0842,0.0842,0.0836,0.0837,203472
1667084400000,0.0838,0.0842,0.0837,0.0842,90967
1667088000000,0.0842,0.0843,0.0839,0.0839,261894
1667091600000,0.0839,0.0839,0.0836,0.0839,271444
1667095200000,0.0839,0.0841,0.0837,0.0839,155503
1667098800000,0.0838,0.0839,0.0836,0.0837,107692
1667102400000,0.0838,0.0839,0.0833,0.0834,235109
1667106000000,0.0834,0.0837,0.0834,0.0835,59975
1667109600000,0.0835,0.0838,0.0835,0.0835,240251
1667113200000,0.0836,0.0867,0.0835,0.0856,1595691
1667116800000,0.0857,0.0864,0.0845,0.0851,1834370
1667120400000,0.0849,0.0854,0.0843,0.0843,283978
1667124000000,0.0844,0.0852,0.0841,0.0848,452214
1667127600000,0.0847,0.0851,0.0846,0.085,235637
1667131200000,0.085,0.0853,0.0844,0.0847,330421
1667134800000,0.0847,0.0847,0.0837,0.084,459302
