date,open,high,low,close,volume
1667005200000,17.16,17.18,17.13,17.13,262.7
1667008800000,17.13,17.19,17.13,17.19,406.64
1667012400000,17.17,17.34,17.17,17.34,535.33
1667016000000,17.34,17.34,17.19,17.23,174.52
1667019600000,17.22,17.28,17.19,17.19,217.5
1667023200000,17.23,17.29,17.21,17.27,90.4
1667026800000,17.24,17.3,17.23,17.29,153.23
1667030400000,17.28,17.5,17.27,17.43,924.64
1667034000000,17.43,17.6,17.43,17.5,650.3
1667037600000,17.5,17.56,17.26,17.26,2655.57
1667041200000,17.25,17.29,17.13,17.2,420.44
1667044800000,17.15,17.36,17.14,17.25,313.28
1667048400000,17.27,17.3,17.14,17.2,193.91
1667052000000,17.26,17.32,17.14,17.18,550.66
1667055600000,17.18,17.25,17.13,17.17,636.16
1667059200000,17.17,17.37,17.17,17.34,1099.52
1667062800000,17.34,17.4,17.16,17.21,769.44
1667066400000,17.15,17.25,17.06,17.15,1157.26
1667070000000,17.15,17.16,16.9,16.99,992.8
1667073600000,16.99,17.07,16.97,17.06,359.8
1667077200000,17.05,17.11,17.04,17.04,227.2
1667080800000,17.07,17.08,16.89,16.92,983.73
1667084400000,16.87,17,16.87,17,26.32
1667088000000,16.99,17.04,16.9,16.92,76.46
1667091600000,16.93,17.01,16.9,17.01,56.47
1667095200000,17,17.03,16.96,17.02,252.86
1667098800000,17.02,17.04,16.99,17.01,129.74
1667102400000,16.98,17.02,16.91,16.95,139.34
1667106000000,16.95,17.02,16.93,16.96,91.91
1667109600000,17,17.02,16.92,17.01,146.97
1667113200000,17.01,17.16,17,17.11,327.77
1667116800000,17.12,17.18,16.98,17.05,786.21
1667120400000,17.04,17.12,16.9,16.92,802.79
1667124000000,16.93,16.97,16.9,16.97,250.92
1667127600000,16.97,17,16.9,17,186.76
1667131200000,16.97,17.01,16.89,16.98,350.27
1667134800000,16.98,16.98,16.78,16.83,858.98
1667138400000,16.82,16.91,16.79,16.89,851.84
1667142000000,16.89,16.9,16.74,16.74,216.65
1667145600000,16.76,16.86,16.71,16.74,635.13
1667149200000,16.7,16.83,16.7,16.83,113.43
1667152800000,16.79,16.96,16.77,16.87,242.35
1667156400000,16.94,16.98,16.86,16.87,21.52
1667160000000,16.95,17.15,16.83,16.99,1108.2
1667163600000,16.93,17.08,16.93,17.03,431.49
1667167200000,16.99,16.99,16.8,16.95,499.22
1667170800000,16.95,17.05,16.9,17.01,188.76
1667174400000,17.02,17.2,16.97,16.97,647.59
1667178000000,16.99,17.06,16.89,16.94,63.2
1667181600000,16.89,16.92,16.8,16.89,75.45
1667185200000,16.82,16.97,16.82,16.97,55.66
1667188800000,16.98,16.99,16.95,16.99,12.53
1667192400000,16.96,17.06,16.95,17,253.4
1667196000000,16.98,17.05,16.88,17.01,261.91
1667199600000,16.95,17.05,16.95,17.05,90.66
1667203200000,17.05,17.07,16.92,16.93,115.67
1667206800000,16.94,17.5,16.9,17.46,1531.82
1667210400000,17.46,17.52,17.37,17.43,849.25
1667214000000,17.41,17.49,17.28,17.33,1283.14
1667217600000,17.43,17.87,17.26,17.31,8705.87
1667221200000,17.35,17.47,17.09,17.11,1100.09
1667224800000,17.13,17.23,16.94,17.1,1572.25
1667228400000,17.09,17.4,17.06,17.26,3354.52
1667232000000,17.31,17.48,17.25,17.36,955.96
1667235600000,17.4,17.7,17.38,17.38,1979.79
1667239200000,17.44,17.9,17.4,17.45,3231.14
1667242800000,17.45,17.55,17.39,17.44,921.12
1667246400000,17.45,17.66,17.37,17.59,926.18
1667250000000,17.56,17.56,17.27,17.37,3307.02
1667253600000,17.34,17.45,17.28,17.44,514.87
1667257200000,17.37,17.49,17.37,17.47,199.11
1667260800000,17.44,17.5,17.36,17.45,183.55
1667264400000,17.44,17.53,17.43,17.51,117.72
1667268000000,17.51,17.66,17.46,17.66,291.46
1667271600000,17.65,17.65,17.48,17.48,342.62
1667275200000,17.48,17.48,17.33,17.4,910.22
1667278800000,17.41,17.63,17.37,17.54,1081.07
1667282400000,17.57,17.7,17.52,17.66,1004.53
1667286000000,17.67,17.67,17.54,17.61,456.35
1667289600000,17.61,17.72,17.37,17.37,2093.17
1667293200000,17.39,17.57,17.34,17.51,796.14
1667296800000,17.52,17.52,17.41,17.47,652.76
1667300400000,17.41,17.41,17.27,17.27,745.94
1667304000000,17.32,17.33,17.22,17.26,1032.17
1667307600000,17.26,17.33,17.11,17.16,672.31
1667311200000,17.15,17.17,17.11,17.15,738.35
1667314800000,17.15,17.15,17.09,17.12,166.52
1667318400000,17.12,17.12,17,17.06,719.91
1667322000000,17.06,17.06,17.02,17.05,36.59
1667325600000,17.04,17.12,17.04,17.11,152.91
1667329200000,17.07,17.1,17.03,17.05,117.4
1667332800000,17.01,17.05,17.01,17.04,43.78
1667336400000,17.06,17.1,17.02,17.03,50.51
1667340000000,17.07,17.07,17,17.04,408.01
1667343600000,17.01,17.07,16.92,16.93,4289.99
1667347200000,16.97,16.97,16.86,16.93,313.55
1667350800000,16.98,16.99,16.97,16.97,12.43
1667354400000,16.94,16.94,16.85,16.9,95.24
1667358000000,16.91,16.98,16.91,16.97,48.33
1667361600000,16.96,16.97,16.87,16.96,388.63
1667365200000,16.96,16.98,16.89,16.91,204.08
1667368800000,16.91,16.91,16.8,16.9,475.99
1667372400000,16.9,17.11,16.7,16.81,2415.64
1667376000000,16.76,16.92,16.76,16.89,269.12
1667379600000,16.91,16.96,16.75,16.76,366.96
1667383200000,16.72,16.74,16.51,16.61,604.12
1667386800000,16.63,16.67,16.6,16.65,116.65
1667390400000,16.65,16.65,16.51,16.53,366.34
1667394000000,16.53,16.62,16.5,16.58,203.06
1667397600000,16.58,16.7,16.58,16.65,115.47
1667401200000,16.68,16.85,16.64,16.72,1869.26
1667404800000,16.69,16.87,16.6,16.81,212.92
1667408400000,16.81,16.86,16.68,16.7,208.61
1667412000000,16.69,17.23,16.64,16.85,2378.23
1667415600000,16.85,17.13,16.55,16.7,1926.81
1667419200000,16.68,16.74,16.44,16.55,737.07
1667422800000,16.55,16.62,16.47,16.59,593.28
1667426400000,16.59,16.65,16.51,16.54,418.35
1667430000000,16.52,16.59,16.28,16.31,4966.13
1667433600000,16.31,16.51,16.31,16.5,736.17
1667437200000,16.48,16.61,16.48,16.61,211.83
1667440800000,16.62,16.75,16.6,16.72,284.95
