date,open,high,low,close,volume
1667005200000,0.1826,0.1828,0.1814,0.1824,495345
1667008800000,0.1825,0.1843,0.1816,0.183,625634.4
1667012400000,0.183,0.1849,0.1825,0.1848,941646
1667016000000,0.1847,0.1847,0.1831,0.1836,793527.6
1667019600000,0.1837,0.1839,0.183,0.1839,449671.4
1667023200000,0.1839,0.1849,0.183,0.1837,537730.3
1667026800000,0.1838,0.1862,0.1837,0.1855,1260703.8
1667030400000,0.1854,0.1881,0.1838,0.1862,1911078.8
1667034000000,0.1862,0.19,0.1854,0.1893,3115659.2
1667037600000,0.1892,0.19,0.184,0.1851,3287346.5
1667041200000,0.1851,0.1873,0.1831,0.1839,1839490.2
1667044800000,0.1839,0.1869,0.1837,0.1867,1292571.9
1667048400000,0.1866,0.1875,0.1825,0.1856,2813710.2
1667052000000,0.1856,0.1872,0.1848,0.1855,2136023.3
1667055600000,0.1856,0.1868,0.1835,0.1849,1713371.9
1667059200000,0.1849,0.1881,0.1843,0.1865,1942393.5
1667062800000,0.1866,0.1871,0.1802,0.1805,2620609.9
1667066400000,0.1803,0.1823,0.1782,0.1807,3554106.2
1667070000000,0.1808,0.1818,0.1779,0.1801,1844944.8
1667073600000,0.1801,0.1814,0.1784,0.1811,2265444.8
1667077200000,0.181,0.1825,0.181,0.1812,1254647.6
1667080800000,0.1813,0.1825,0.1791,0.1799,1454694.3
1667084400000,0.1799,0.1839,0.1792,0.1835,868589.6
1667088000000,0.1834,0.1882,0.1822,0.1877,2000288.9
1667091600000,0.1877,0.1882,0.184,0.186,1288622
1667095200000,0.1861,0.1869,0.1853,0.1865,363742.3
1667098800000,0.1866,0.1897,0.1866,0.1895,1006526.5
1667102400000,0.1895,0.1898,0.1863,0.1874,949882.4
1667106000000,0.1877,0.1896,0.1871,0.1884,1089297.9
1667109600000,0.1885,0.1898,0.1865,0.1894,857235.7
1667113200000,0.1892,0.1907,0.1874,0.1905,2121215.2
1667116800000,0.1905,0.1908,0.1844,0.1875,2816635.7
1667120400000,0.1875,0.1881,0.1826,0.1844,2619716.7
1667124000000,0.1843,0.1861,0.1838,0.1852,1272951.1
1667127600000,0.1851,0.186,0.1832,0.1857,1015153.9
1667131200000,0.1858,0.1858,0.1825,0.185,1160702.9
1667134800000,0.185,0.1861,0.1808,0.1823,1900407.1
1667138400000,0.1825,0.1846,0.1818,0.184,952575.6
1667142000000,0.1839,0.1842,0.1799,0.1804,1270942.6
1667145600000,0.1804,0.1828,0.1792,0.1801,1162888.5
1667149200000,0.1802,0.1812,0.1795,0.181,500162.8
1667152800000,0.1809,0.182,0.1807,0.181,747280
1667156400000,0.1812,0.1815,0.1799,0.1804,466189.4
1667160000000,0.1805,0.1823,0.1803,0.1812,906238
1667163600000,0.1814,0.1824,0.1803,0.1813,390985.6
1667167200000,0.1813,0.1813,0.1761,0.1789,1642208.3
1667170800000,0.1788,0.1812,0.1781,0.181,1911692.7
1667174400000,0.1809,0.1833,0.1805,0.1806,1171076.9
1667178000000,0.1807,0.1816,0.1791,0.181,755259.8
1667181600000,0.1809,0.1811,0.1785,0.1795,678465.2
1667185200000,0.1796,0.1821,0.1796,0.1814,507176.4
1667188800000,0.1815,0.1823,0.181,0.1816,404603.7
1667192400000,0.1814,0.1818,0.1804,0.1805,203609.1
1667196000000,0.1806,0.1807,0.1788,0.1792,655636.3
1667199600000,0.1795,0.1795,0.1782,0.1789,328564.2
1667203200000,0.1791,0.1791,0.1754,0.176,784188.5
1667206800000,0.1759,0.183,0.1752,0.182,1663029.4
1667210400000,0.182,0.1822,0.18,0.1814,970369.5
