date,open,high,low,close,volume
1667005200000,0.2088,0.2096,0.2066,0.2085,284467
1667008800000,0.2086,0.2097,0.2084,0.2089,87172.6
1667012400000,0.2089,0.2097,0.2087,0.2097,167364.2
1667016000000,0.2097,0.21,0.209,0.2094,98342.7
1667019600000,0.2096,0.2096,0.2082,0.2082,176447.1
1667023200000,0.2083,0.2098,0.208,0.2095,153065.5
1667026800000,0.2093,0.2117,0.208,0.2111,350508.1
1667030400000,0.2111,0.2121,0.2105,0.2117,174989.4
1667034000000,0.2115,0.2132,0.2114,0.2125,148608
1667037600000,0.2125,0.214,0.2093,0.2108,335005.6
1667041200000,0.2106,0.2109,0.2078,0.2082,158303.9
1667044800000,0.2081,0.2085,0.2077,0.2084,118702.5
1667048400000,0.2084,0.2086,0.207,0.2074,140547
1667052000000,0.2075,0.2085,0.2072,0.2079,66992
1667055600000,0.2078,0.208,0.2053,0.207,228434
1667059200000,0.207,0.2105,0.2062,0.2101,348719.7
1667062800000,0.21,0.2109,0.2074,0.2086,239237.6
1667066400000,0.2086,0.2089,0.2071,0.2085,126092.1
1667070000000,0.2084,0.2112,0.2072,0.2088,198721.2
1667073600000,0.2085,0.2094,0.208,0.2092,67119.9
1667077200000,0.2093,0.211,0.2092,0.2098,83035.8
1667080800000,0.2099,0.2149,0.2091,0.2106,665825.5
1667084400000,0.2105,0.2106,0.2083,0.2097,80337.3
1667088000000,0.2097,0.2099,0.2074,0.2082,116118.2
1667091600000,0.2083,0.2096,0.208,0.2088,130499.7
1667095200000,0.209,0.21,0.208,0.2084,146993.6
1667098800000,0.2084,0.2086,0.2063,0.2082,119907.3
1667102400000,0.2083,0.2087,0.2082,0.2084,50015.1
1667106000000,0.2084,0.2096,0.2084,0.2092,65088.2
1667109600000,0.209,0.2097,0.2084,0.2092,79195
1667113200000,0.209,0.2105,0.209,0.2105,106954.7
1667116800000,0.2105,0.2115,0.2092,0.2104,230322.2
1667120400000,0.2103,0.2108,0.2085,0.2088,34183
1667124000000,0.2087,0.209,0.2078,0.2085,64909.6
1667127600000,0.2085,0.2085,0.2061,0.2079,159638.3
1667131200000,0.2079,0.2107,0.2074,0.2082,124006
1667134800000,0.2084,0.21,0.2072,0.2076,125984.2
1667138400000,0.2077,0.2085,0.2076,0.2082,32164
1667142000000,0.2082,0.2132,0.2071,0.2096,564657.4
1667145600000,0.2096,0.2101,0.2072,0.2085,172549.2
1667149200000,0.2082,0.2178,0.2081,0.2116,1344055.9
1667152800000,0.2117,0.213,0.209,0.212,332430.7
1667156400000,0.2121,0.2164,0.2121,0.2137,577920.6
1667160000000,0.214,0.2265,0.2132,0.2142,2622874.3
1667163600000,0.2139,0.2144,0.2111,0.2127,217776.3
1667167200000,0.2127,0.2127,0.2097,0.2106,165287.1
1667170800000,0.2106,0.2121,0.2103,0.2118,54897.5
1667174400000,0.2119,0.2135,0.2118,0.2123,132420.8
1667178000000,0.2123,0.2131,0.2119,0.2119,111892.9
1667181600000,0.2119,0.2119,0.211,0.2114,54374.7
1667185200000,0.2114,0.2119,0.2109,0.2115,80205.1
1667188800000,0.2118,0.212,0.2106,0.2116,106133.8
1667192400000,0.2115,0.2117,0.211,0.211,79055.6
1667196000000,0.2111,0.2113,0.2091,0.2098,101979.5
1667199600000,0.21,0.2101,0.209,0.2099,89974.4
1667203200000,0.21,0.21,0.2089,0.209,118950.4
1667206800000,0.209,0.2127,0.2087,0.2121,314644.6
1667210400000,0.2123,0.213,0.2111,0.2115,131599
1667214000000,0.2114,0.2133,0.2112,0.2122,115637.3
1667217600000,0.2124,0.2141,0.212,0.2138,283697.7
1667221200000,0.2141,0.219,0.213,0.213,406563.9
1667224800000,0.2133,0.2208,0.207,0.2108,958018
1667228400000,0.2112,0.2123,0.21,0.2113,143547.3
1667232000000,0.2113,0.2121,0.2085,0.2102,382907.1
1667235600000,0.2101,0.2129,0.2088,0.2107,183666.3
1667239200000,0.2108,0.212,0.2105,0.212,48500.3
1667242800000,0.2116,0.2126,0.211,0.2122,35713.5
1667246400000,0.2122,0.2125,0.2116,0.2119,28484.4
1667250000000,0.2117,0.212,0.211,0.2115,33695.4
1667253600000,0.2114,0.2119,0.211,0.2117,27239.6
1667257200000,0.2117,0.212,0.211,0.2117,43345.2
1667260800000,0.2116,0.2125,0.211,0.2116,77468.1
1667264400000,0.2118,0.213,0.211,0.2123,198601.2
1667268000000,0.212,0.2129,0.212,0.2127,34137.5
1667271600000,0.2127,0.2144,0.2125,0.2138,86098.2
1667275200000,0.2137,0.2145,0.212,0.2123,96388.5
1667278800000,0.212,0.2124,0.2116,0.2117,72035.5
1667282400000,0.2117,0.214,0.2115,0.214,109750.4
1667286000000,0.214,0.2145,0.2134,0.2135,93999.9
1667289600000,0.2135,0.2137,0.2123,0.2126,62758
1667293200000,0.2125,0.2134,0.2112,0.2122,206590.6
1667296800000,0.2122,0.2127,0.21,0.2126,185272.6
1667300400000,0.2126,0.2127,0.21,0.2107,230936.2
1667304000000,0.211,0.2111,0.2096,0.2107,96366.1
1667307600000,0.2104,0.2104,0.2053,0.2075,384485.3
1667311200000,0.2073,0.2085,0.2071,0.2073,138093.4
1667314800000,0.2073,0.2083,0.2071,0.2075,71768.9
1667318400000,0.2075,0.2077,0.2054,0.2062,119151.4
1667322000000,0.206,0.2069,0.205,0.2067,82724.8
1667325600000,0.2067,0.2074,0.2067,0.2072,68442.5
1667329200000,0.2073,0.2073,0.2062,0.2067,38993.7
1667332800000,0.2067,0.2067,0.2056,0.2064,41296.8
1667336400000,0.2064,0.2068,0.2058,0.2058,38717.4
1667340000000,0.2058,0.2063,0.2058,0.2061,24217.3
1667343600000,0.2061,0.2064,0.2052,0.2052,75461.2
1667347200000,0.2053,0.2053,0.2042,0.2043,228150.1
1667350800000,0.2043,0.2052,0.2041,0.2044,83187.1
1667354400000,0.2043,0.2048,0.2039,0.2045,88596.9
1667358000000,0.2046,0.2057,0.2044,0.2055,54208.6
1667361600000,0.2053,0.207,0.2049,0.2053,164612.3
1667365200000,0.2053,0.2059,0.2033,0.2042,168438.2
1667368800000,0.2041,0.2042,0.2011,0.2033,227374.2
1667372400000,0.2032,0.2034,0.2013,0.2025,149801.6
1667376000000,0.2025,0.2026,0.2016,0.2026,43891.8
1667379600000,0.2026,0.2033,0.201,0.201,165391.4
1667383200000,0.201,0.2011,0.2003,0.2005,427630.5
1667386800000,0.2005,0.2008,0.2003,0.2004,42707.4
1667390400000,0.2004,0.2015,0.1997,0.2005,136127.7
1667394000000,0.2004,0.2005,0.1992,0.1992,61322
1667397600000,0.1992,0.2023,0.1992,0.2001,151418.7
1667401200000,0.2002,0.2002,0.1998,0.1999,49094.8
1667404800000,0.1999,0.2016,0.1994,0.2016,56228.6
1667408400000,0.2012,0.2014,0.2,0.2001,37561.8
1667412000000,0.2002,0.2053,0.2,0.2018,358745
1667415600000,0.2018,0.2062,0.2012,0.2019,359380.3
1667419200000,0.2019,0.209,0.2,0.2023,426712.1
1667422800000,0.2022,0.2023,0.2011,0.2014,67974.7
1667426400000,0.2014,0.2024,0.1938,0.1972,1759023
1667430000000,0.1972,0.1976,0.1968,0.1971,148227.4
1667433600000,0.197,0.1982,0.1957,0.1981,194230
1667437200000,0.1982,0.2004,0.1981,0.2004,221729.5
1667440800000,0.2004,0.2014,0.2001,0.2012,102352.5
1667444400000,0.2013,0.2019,0.2012,0.2015,115569.4
1667448000000,0.2015,0.2033,0.2012,0.203,110806.6
1667451600000,0.203,0.205,0.2028,0.2049,122682
1667455200000,0.2049,0.2057,0.2024,0.2049,232493.6
1667458800000,0.2049,0.2062,0.2024,0.2033,180626.6
1667462400000,0.2033,0.2052,0.2027,0.205,181720.2
1667466000000,0.205,0.2075,0.205,0.2071,359852.6
1667469600000,0.2071,0.2088,0.2063,0.2074,217883.4
1667473200000,0.2075,0.208,0.2059,0.2059,387029
1667476800000,0.2061,0.2065,0.2,0.2026,555685.8
1667480400000,0.2026,0.2035,0.2014,0.202,122017
1667484000000,0.2021,0.2049,0.2021,0.2044,241437.9
1667487600000,0.2044,0.2046,0.2036,0.2041,80493.7
1667491200000,0.2041,0.2047,0.204,0.2046,93864.6
1667494800000,0.2046,0.2053,0.2038,0.2047,103573.7
1667498400000,0.2049,0.2058,0.2042,0.2051,75091.6
1667502000000,0.205,0.2053,0.2048,0.2051,50854.5
1667505600000,0.2052,0.2056,0.2043,0.2052,76356.3
1667509200000,0.2052,0.2055,0.2048,0.2054,107829.7
1667512800000,0.2054,0.2056,0.2046,0.2049,89077.8
1667516400000,0.205,0.2055,0.2027,0.2041,99980
1667520000000,0.2039,0.2066,0.2035,0.2064,114895.2
1667523600000,0.2065,0.2075,0.206,0.2071,187280.7
1667527200000,0.2071,0.2078,0.2066,0.2071,61904.1
1667530800000,0.2072,0.2089,0.207,0.2086,100007.9
1667534400000,0.2089,0.2099,0.2081,0.2084,116198
1667538000000,0.2083,0.2085,0.2063,0.2081,353101.9
1667541600000,0.208,0.21,0.208,0.2092,188595.6
1667545200000,0.2092,0.21,0.2086,0.2091,146444.4
1667548800000,0.209,0.211,0.2089,0.2093,239013
1667552400000,0.2093,0.21,0.2089,0.209,77762.1
1667556000000,0.2094,0.2102,0.208,0.21,195678
1667559600000,0.21,0.211,0.2095,0.2097,206823.2
1667563200000,0.2097,0.212,0.2082,0.212,188418.4
1667566800000,0.212,0.2129,0.2105,0.2112,196046.6
1667570400000,0.2112,0.2145,0.211,0.2138,306588.2
1667574000000,0.2139,0.215,0.211,0.211,289801.1
1667577600000,0.2111,0.213,0.2103,0.2122,214688.6
1667581200000,0.2122,0.2122,0.2112,0.2114,85496.6
1667584800000,0.2114,0.2132,0.2111,0.2129,44732.7
1667588400000,0.2129,0.2145,0.2129,0.2145,162357.2
1667592000000,0.2146,0.2148,0.2139,0.2142,63937.2
1667595600000,0.2143,0.215,0.2139,0.2144,123667.5
1667599200000,0.2144,0.2149,0.2142,0.2146,35786.2
1667602800000,0.2147,0.2149,0.2127,0.2142,151834
1667606400000,0.2142,0.2151,0.2132,0.2151,152335.2
1667610000000,0.2151,0.219,0.2112,0.2161,522730.5
1667613600000,0.2161,0.2166,0.215,0.2157,61824.3
1667617200000,0.2156,0.2161,0.2154,0.2156,64035.3
1667620800000,0.2155,0.2169,0.2154,0.2163,79048.3
1667624400000,0.2163,0.2173,0.2159,0.2162,89344
1667628000000,0.2161,0.2193,0.2161,0.2179,111378.3
1667631600000,0.2178,0.2179,0.2164,0.2172,60559.5
1667635200000,0.2171,0.2171,0.2131,0.2151,318651.2
1667638800000,0.2152,0.2176,0.2138,0.2148,207433.2
1667642400000,0.2149,0.216,0.2148,0.2157,140204.1
1667646000000,0.2158,0.2169,0.2158,0.2166,61201.1
1667649600000,0.2167,0.2169,0.2156,0.216,88312.9
1667653200000,0.2159,0.216,0.2138,0.2144,109082.3
1667656800000,0.2144,0.216,0.2128,0.2133,220831.1
1667660400000,0.2133,0.2145,0.2128,0.2143,68927.8
1667664000000,0.2143,0.2154,0.2141,0.2154,59693.5
1667667600000,0.2153,0.217,0.2153,0.2162,204458.7
1667671200000,0.2162,0.2165,0.2148,0.215,56778.9
1667674800000,0.2149,0.2156,0.2148,0.2156,18670.3
1667678400000,0.2156,0.2163,0.2156,0.216,26426.6
1667682000000,0.216,0.2165,0.2159,0.2161,16728.8
1667685600000,0.2165,0.2171,0.2153,0.2164,63741.3
1667689200000,0.2164,0.2167,0.2127,0.2144,86535.2
1667692800000,0.2143,0.2163,0.2141,0.2148,76028.8
1667696400000,0.2148,0.215,0.213,0.213,67889.8
1667700000000,0.2132,0.2134,0.2122,0.2126,97011.2
1667703600000,0.2124,0.2128,0.212,0.2126,53236.2
1667707200000,0.2128,0.219,0.2125,0.2132,663879.7
1667710800000,0.2131,0.2133,0.2122,0.2123,57692.3
1667714400000,0.2123,0.2139,0.2122,0.2132,79779.4
1667718000000,0.2129,0.2131,0.2107,0.2117,142448.3
1667721600000,0.2117,0.2126,0.2117,0.2121,75749.8
1667725200000,0.212,0.2139,0.211,0.2138,193216.8
1667728800000,0.2138,0.2166,0.2136,0.2163,314584.3
1667732400000,0.2161,0.2218,0.2158,0.2205,1210616.7
1667736000000,0.2208,0.226,0.2203,0.226,769910.3
1667739600000,0.2258,0.2276,0.221,0.2228,1097490.6
1667743200000,0.2228,0.2384,0.2211,0.2252,2952890.5
1667746800000,0.225,0.2269,0.2235,0.2241,461662.2
1667750400000,0.2238,0.2244,0.2204,0.222,509960.2
1667754000000,0.222,0.222,0.22,0.2204,210178.3
1667757600000,0.2204,0.2212,0.22,0.2211,116071.1
1667761200000,0.2211,0.223,0.22,0.222,192574.1
1667764800000,0.2223,0.2227,0.2208,0.2211,78169.4
1667768400000,0.2211,0.2216,0.2201,0.2209,45281.1
1667772000000,0.2209,0.221,0.2161,0.2167,334378.7
1667775600000,0.2167,0.2167,0.2132,0.2135,514321.9
1667779200000,0.2135,0.2148,0.2117,0.2119,403162.5
1667782800000,0.2119,0.213,0.21,0.2129,334068.9
1667786400000,0.2127,0.216,0.2123,0.2147,272481.2
