date,open,high,low,close,volume
1667005200000,0.2755,0.2764,0.275,0.275,5959
1667008800000,0.2753,0.2754,0.2735,0.2746,18665
1667012400000,0.2746,0.275,0.2739,0.2745,43342
1667016000000,0.2745,0.2749,0.2728,0.2736,83181
1667019600000,0.2736,0.2736,0.2717,0.2727,31551
1667023200000,0.273,0.2739,0.2718,0.2725,49781
1667026800000,0.2718,0.2753,0.27,0.272,249690
1667030400000,0.2723,0.2739,0.2715,0.2728,172801
1667034000000,0.2735,0.2752,0.2727,0.2744,106128
1667037600000,0.2741,0.2777,0.274,0.274,397021
1667041200000,0.274,0.2748,0.2708,0.2721,167245
1667044800000,0.272,0.2734,0.2717,0.2717,48466
1667048400000,0.2718,0.2721,0.271,0.271,30634
1667052000000,0.2713,0.2725,0.2709,0.2709,40286
1667055600000,0.2709,0.2723,0.2694,0.2694,130716
1667059200000,0.2698,0.2728,0.269,0.2723,186783
1667062800000,0.2725,0.2731,0.2704,0.2704,141318
1667066400000,0.2703,0.2703,0.2672,0.2693,137029
1667070000000,0.2693,0.2697,0.2672,0.2678,55097
1667073600000,0.2682,0.2688,0.2677,0.2684,12155
1667077200000,0.2686,0.2698,0.2681,0.2693,32098
1667080800000,0.2693,0.27,0.2688,0.2692,50568
1667084400000,0.269,0.2696,0.2678,0.2692,26208
1667088000000,0.2692,0.271,0.2683,0.2692,42177
1667091600000,0.2693,0.2693,0.2674,0.2687,64396
1667095200000,0.2688,0.2692,0.2674,0.2692,20968
1667098800000,0.2691,0.2693,0.2685,0.2686,27390
1667102400000,0.269,0.269,0.2686,0.2687,10836
1667106000000,0.2688,0.2693,0.2675,0.2691,79191
1667109600000,0.269,0.2696,0.268,0.2694,37927
1667113200000,0.2693,0.2713,0.2681,0.2711,57707
1667116800000,0.2711,0.272,0.2688,0.2688,110361
1667120400000,0.2689,0.271,0.268,0.2681,96790
1667124000000,0.2681,0.2693,0.267,0.2672,62057
1667127600000,0.2672,0.2706,0.2671,0.2701,92517
1667131200000,0.2695,0.2708,0.268,0.2692,64536
1667134800000,0.2689,0.2703,0.2674,0.2683,70010
1667138400000,0.2681,0.27,0.2671,0.2695,40833
1667142000000,0.2695,0.2704,0.267,0.2684,66396
1667145600000,0.2683,0.2694,0.2667,0.2682,65306
1667149200000,0.2683,0.2689,0.2666,0.2669,17370
1667152800000,0.2677,0.268,0.2666,0.2671,21248
1667156400000,0.2678,0.269,0.2663,0.2678,41814
1667160000000,0.2678,0.2689,0.2677,0.2689,26763
1667163600000,0.2689,0.27,0.2675,0.2693,62553
1667167200000,0.2683,0.2683,0.2661,0.2673,21512
1667170800000,0.2672,0.2679,0.266,0.2667,48484
1667174400000,0.2667,0.2682,0.266,0.2667,10276
1667178000000,0.2671,0.2699,0.2663,0.2663,42092
1667181600000,0.2662,0.2662,0.2649,0.265,50381
1667185200000,0.2649,0.2661,0.2641,0.2661,40499
1667188800000,0.2661,0.2687,0.2661,0.2665,33532
1667192400000,0.2667,0.2674,0.2656,0.2661,25345
1667196000000,0.2664,0.2669,0.2641,0.2651,84162
1667199600000,0.2647,0.2655,0.2643,0.2654,24219
1667203200000,0.2654,0.2654,0.26,0.2632,258392
1667206800000,0.2637,0.2669,0.2625,0.2666,53789
1667210400000,0.2666,0.2675,0.2651,0.266,94853
1667214000000,0.2657,0.2663,0.2646,0.2648,48492
1667217600000,0.2648,0.2661,0.2642,0.2652,46616
1667221200000,0.2656,0.2671,0.2603,0.2621,116992
1667224800000,0.2621,0.265,0.2605,0.2606,115602
1667228400000,0.2613,0.2625,0.2602,0.2613,71175
1667232000000,0.2613,0.264,0.2602,0.2617,90093
1667235600000,0.2619,0.2623,0.2609,0.2616,22618
1667239200000,0.2613,0.2617,0.2601,0.2609,36014
1667242800000,0.2609,0.2618,0.26,0.2609,66043
1667246400000,0.2606,0.2621,0.2599,0.2604,32218
1667250000000,0.2605,0.2607,0.2587,0.2593,36807
1667253600000,0.2593,0.2618,0.2588,0.2609,69057
1667257200000,0.2614,0.263,0.2612,0.2627,112788
1667260800000,0.2619,0.2633,0.2608,0.2621,29370
1667264400000,0.2622,0.2623,0.2615,0.2623,18442
1667268000000,0.2618,0.2645,0.2614,0.2636,29054
1667271600000,0.2636,0.2637,0.2615,0.2623,23647
1667275200000,0.2622,0.263,0.262,0.2624,54731
1667278800000,0.2624,0.2625,0.2604,0.2606,79391
1667282400000,0.2611,0.2644,0.2611,0.264,77068
1667286000000,0.2634,0.2646,0.2625,0.2633,38130
1667289600000,0.2629,0.2665,0.2627,0.2652,136935
1667293200000,0.265,0.2664,0.2644,0.2655,55605
1667296800000,0.2651,0.2674,0.2648,0.2656,63785
1667300400000,0.2655,0.266,0.2642,0.2657,56396
1667304000000,0.2657,0.2661,0.265,0.2658,38229
1667307600000,0.2658,0.266,0.2607,0.2623,164420
1667311200000,0.2621,0.2635,0.262,0.262,15519
1667314800000,0.262,0.2632,0.2611,0.262,43821
1667318400000,0.262,0.2627,0.2606,0.2608,51939
1667322000000,0.2606,0.262,0.2598,0.2612,64354
1667325600000,0.2612,0.2612,0.2599,0.2606,48791
1667329200000,0.2606,0.2619,0.2606,0.2617,42624
1667332800000,0.2617,0.2621,0.2613,0.2621,9221
1667336400000,0.2622,0.2634,0.2622,0.263,11194
1667340000000,0.2627,0.2635,0.2623,0.2628,9549
1667343600000,0.2634,0.2643,0.2621,0.2621,21657
1667347200000,0.2621,0.2623,0.2607,0.2614,27639
1667350800000,0.2613,0.2617,0.2601,0.2602,33051
1667354400000,0.2601,0.2601,0.2596,0.26,50009
1667358000000,0.2596,0.2597,0.2591,0.2595,40677
1667361600000,0.2594,0.2598,0.2592,0.2596,15969
1667365200000,0.2593,0.2595,0.256,0.2566,135958
1667368800000,0.2561,0.2572,0.2551,0.2566,87996
1667372400000,0.2561,0.2571,0.2542,0.2565,155092
1667376000000,0.2561,0.2567,0.2544,0.2558,62863
1667379600000,0.2563,0.2564,0.2543,0.2547,62111
1667383200000,0.2545,0.2545,0.253,0.2536,81417
1667386800000,0.2532,0.2548,0.253,0.254,50605
1667390400000,0.254,0.2546,0.2538,0.2543,60897
1667394000000,0.2545,0.2553,0.253,0.2538,30666
1667397600000,0.2539,0.254,0.2531,0.2538,14177
1667401200000,0.2539,0.2545,0.2533,0.2533,15403
1667404800000,0.2533,0.2543,0.2531,0.2542,23706
1667408400000,0.2547,0.2547,0.2523,0.2533,60629
1667412000000,0.2531,0.2594,0.2523,0.2559,191211
1667415600000,0.2559,0.2574,0.2519,0.2522,56314
1667419200000,0.2523,0.2534,0.2518,0.2533,59401
1667422800000,0.253,0.256,0.2526,0.2559,47858
1667426400000,0.256,0.256,0.2531,0.2533,12734
1667430000000,0.253,0.2577,0.2528,0.256,39798
1667433600000,0.2557,0.2571,0.2544,0.2571,9425
1667437200000,0.2571,0.2596,0.2567,0.2584,40757
1667440800000,0.258,0.2601,0.2578,0.2599,22199
1667444400000,0.2601,0.2648,0.2601,0.2641,57966
1667448000000,0.2641,0.2654,0.2618,0.2618,84171
1667451600000,0.2618,0.264,0.2618,0.2633,50071
1667455200000,0.2635,0.264,0.2623,0.2633,37505
1667458800000,0.2633,0.2643,0.2618,0.2621,34741
1667462400000,0.2621,0.264,0.2619,0.2638,30970
1667466000000,0.2634,0.272,0.2632,0.2697,276629
1667469600000,0.2692,0.27,0.2636,0.2652,191436
1667473200000,0.265,0.2664,0.2599,0.2614,122226
1667476800000,0.2614,0.2625,0.2595,0.2597,104738
1667480400000,0.2601,0.2643,0.2601,0.2608,70499
1667484000000,0.2608,0.2642,0.2608,0.2636,39744
1667487600000,0.2636,0.2735,0.2617,0.2721,757506
1667491200000,0.2721,0.2727,0.2677,0.2684,565991
1667494800000,0.2684,0.2715,0.2682,0.2715,155416
1667498400000,0.2716,0.2716,0.2678,0.2703,146796
1667502000000,0.2702,0.2716,0.2693,0.2699,74400
1667505600000,0.2699,0.2702,0.268,0.2695,50549
1667509200000,0.2691,0.2701,0.2683,0.2697,27146
1667512800000,0.2698,0.2701,0.2662,0.2662,105155
1667516400000,0.2664,0.2666,0.2645,0.2656,38257
1667520000000,0.2651,0.2665,0.2641,0.2663,61137
1667523600000,0.2667,0.2677,0.266,0.2668,27912
1667527200000,0.2671,0.2677,0.2659,0.2664,36035
1667530800000,0.2666,0.2693,0.2666,0.2686,26770
1667534400000,0.2691,0.2705,0.2676,0.2699,103706
1667538000000,0.2696,0.2715,0.2683,0.2691,90755
1667541600000,0.2691,0.2708,0.2681,0.2692,139495
1667545200000,0.2692,0.2708,0.2687,0.2702,41948
1667548800000,0.2706,0.2713,0.2691,0.2695,46139
1667552400000,0.2694,0.2709,0.2682,0.2694,121644
1667556000000,0.2695,0.27,0.2682,0.2698,72287
1667559600000,0.2698,0.2698,0.2667,0.2668,56978
1667563200000,0.2673,0.2692,0.266,0.2692,85758
1667566800000,0.2692,0.2727,0.2692,0.2704,183232
1667570400000,0.2698,0.2732,0.2698,0.2723,133758
1667574000000,0.2723,0.2729,0.2692,0.2696,155067
1667577600000,0.2696,0.2705,0.2688,0.2697,67118
1667581200000,0.27,0.2706,0.2688,0.27,70972
1667584800000,0.2702,0.271,0.2691,0.2704,64560
1667588400000,0.2704,0.273,0.2704,0.2726,82953
1667592000000,0.2726,0.273,0.2704,0.271,86927
1667595600000,0.271,0.272,0.2702,0.271,157814
1667599200000,0.2714,0.272,0.2714,0.272,15070
1667602800000,0.272,0.272,0.2711,0.2717,15136
1667606400000,0.2716,0.2752,0.271,0.2752,97547
1667610000000,0.2752,0.2754,0.2739,0.2739,44748
1667613600000,0.2739,0.2749,0.273,0.2734,43912
1667617200000,0.2731,0.2749,0.2727,0.2736,41908
1667620800000,0.2736,0.276,0.2736,0.2753,51875
1667624400000,0.2754,0.2774,0.2736,0.2739,72395
1667628000000,0.2739,0.2751,0.2736,0.275,28029
1667631600000,0.2743,0.2749,0.2737,0.2738,37458
1667635200000,0.2737,0.2737,0.271,0.2716,87211
1667638800000,0.2715,0.2724,0.2705,0.2709,90048
1667642400000,0.271,0.2723,0.2707,0.2721,30059
1667646000000,0.2722,0.275,0.2722,0.2749,65902
1667649600000,0.2743,0.2743,0.2715,0.2715,64004
1667653200000,0.2716,0.2723,0.2698,0.2698,86453
1667656800000,0.2704,0.2715,0.269,0.2698,75870
1667660400000,0.2699,0.2711,0.2691,0.27,93475
1667664000000,0.2705,0.2715,0.27,0.2715,106591
1667667600000,0.2713,0.2718,0.27,0.2718,75175
1667671200000,0.2718,0.2724,0.27,0.27,57014
1667674800000,0.2701,0.2708,0.27,0.2702,24796
1667678400000,0.2702,0.271,0.2701,0.2708,33528
1667682000000,0.2709,0.2711,0.2701,0.2709,15172
1667685600000,0.2708,0.2711,0.2703,0.2711,11409
1667689200000,0.2707,0.2707,0.2692,0.2707,25005
1667692800000,0.2704,0.2708,0.2701,0.2705,8922
1667696400000,0.2705,0.2708,0.2694,0.2694,26647
1667700000000,0.2694,0.2694,0.2673,0.2679,46319
1667703600000,0.2679,0.2681,0.2672,0.2675,34330
1667707200000,0.2674,0.2679,0.2671,0.2677,26652
1667710800000,0.2677,0.2677,0.2657,0.266,30347
1667714400000,0.266,0.266,0.2651,0.2651,32450
1667718000000,0.2651,0.2671,0.265,0.2662,75169
1667721600000,0.2662,0.2672,0.2639,0.2668,85476
1667725200000,0.2665,0.2694,0.266,0.2676,83393
1667728800000,0.2677,0.2701,0.2677,0.2701,44228
1667732400000,0.2701,0.2708,0.2675,0.2678,87932
1667736000000,0.2678,0.2688,0.2676,0.2685,17265
1667739600000,0.2684,0.2684,0.268,0.2681,56411
1667743200000,0.2683,0.2694,0.268,0.2686,47863
1667746800000,0.2689,0.2692,0.2683,0.269,14432
1667750400000,0.269,0.2692,0.2661,0.2667,81304
1667754000000,0.2666,0.2678,0.2665,0.2669,19413
1667757600000,0.267,0.2682,0.2664,0.2667,30791
1667761200000,0.2671,0.2685,0.2668,0.2674,48959
1667764800000,0.2669,0.2683,0.2669,0.2671,17298
1667768400000,0.2673,0.2683,0.2665,0.2665,47618
1667772000000,0.2668,0.2668,0.2624,0.2638,77653
1667775600000,0.2638,0.2638,0.257,0.258,114631
1667779200000,0.258,0.2606,0.257,0.2593,117404
1667782800000,0.259,0.2602,0.2587,0.2602,13461
1667786400000,0.2605,0.2619,0.26,0.2604,69801
1667790000000,0.2604,0.2614,0.2602,0.2611,15553
1667793600000,0.2611,0.2615,0.2588,0.2596,41050
1667797200000,0.2598,0.2618,0.2596,0.2615,28198
1667800800000,0.2618,0.2618,0.2611,0.2615,9550
1667804400000,0.2613,0.2618,0.2609,0.2609,50750
1667808000000,0.2609,0.261,0.2582,0.2604,88673
1667811600000,0.26,0.2617,0.26,0.2608,26926
1667815200000,0.2609,0.2643,0.2609,0.2627,67558
1667818800000,0.2627,0.2645,0.2615,0.2631,59301
1667822400000,0.2626,0.2634,0.2608,0.2618,59949
1667826000000,0.2626,0.2626,0.2608,0.2612,12895
1667829600000,0.2612,0.2612,0.2588,0.2593,37000
1667833200000,0.2594,0.264,0.2594,0.264,40056
1667836800000,0.2638,0.265,0.2618,0.2618,90425
1667840400000,0.2618,0.2618,0.2614,0.2617,30810
1667844000000,0.2617,0.2628,0.26,0.2605,134599
1667847600000,0.2607,0.2635,0.2607,0.263,17538
1667851200000,0.2631,0.2706,0.2631,0.2689,448700
1667854800000,0.2694,0.2694,0.2661,0.2664,72371
1667858400000,0.2662,0.268,0.2615,0.2654,270902
1667862000000,0.2658,0.2679,0.265,0.2669,28718
1667865600000,0.2672,0.2675,0.2651,0.2657,18746
1667869200000,0.2655,0.2681,0.2652,0.2677,21104
1667872800000,0.2673,0.2676,0.265,0.265,48512
