date,open,high,low,close,volume
1667005200000,0.04,0.0402,0.0399,0.0399,921138
1667008800000,0.04,0.0401,0.0399,0.04,305410
1667012400000,0.04,0.0404,0.04,0.0404,228865
1667016000000,0.0403,0.0403,0.0401,0.0401,210868
1667019600000,0.0402,0.0403,0.0399,0.0401,630953
1667023200000,0.0402,0.0403,0.0401,0.0402,260722
1667026800000,0.0402,0.0403,0.0401,0.0402,363159
1667030400000,0.0401,0.0405,0.0401,0.0404,882590
1667034000000,0.0404,0.0405,0.0403,0.0404,429901
1667037600000,0.0404,0.0406,0.04,0.04,1184908
1667041200000,0.04,0.0401,0.0397,0.0397,721223
1667044800000,0.0397,0.04,0.0397,0.04,294248
1667048400000,0.0399,0.04,0.0396,0.0399,256717
1667052000000,0.0399,0.0401,0.0397,0.0398,846113
1667055600000,0.0399,0.0401,0.0397,0.0401,903022
1667059200000,0.04,0.0407,0.04,0.0406,1095644
1667062800000,0.0407,0.0409,0.0401,0.0401,905046
1667066400000,0.0402,0.0404,0.04,0.0403,675600
1667070000000,0.0404,0.0406,0.04,0.0402,1035815
1667073600000,0.0402,0.0404,0.04,0.0402,527858
1667077200000,0.0402,0.0404,0.0402,0.0402,60415
1667080800000,0.0403,0.0403,0.0397,0.0398,424052
1667084400000,0.0399,0.04,0.0397,0.04,169620
1667088000000,0.0399,0.04,0.0397,0.0398,566394
1667091600000,0.0398,0.04,0.0398,0.0399,180513
1667095200000,0.04,0.04,0.0398,0.0398,70972
1667098800000,0.0397,0.0399,0.0397,0.0399,92153
1667102400000,0.0399,0.0401,0.0398,0.0399,235709
1667106000000,0.04,0.0401,0.0399,0.0401,147251
1667109600000,0.04,0.0402,0.04,0.0402,196606
1667113200000,0.0401,0.0405,0.04,0.0405,537132
1667116800000,0.0405,0.0406,0.0401,0.0402,247412
1667120400000,0.0402,0.0405,0.0397,0.0399,695975
1667124000000,0.0399,0.0402,0.0398,0.0399,965545
1667127600000,0.0399,0.0401,0.0398,0.04,217932
1667131200000,0.04,0.0401,0.0397,0.0399,238827
1667134800000,0.04,0.04,0.0395,0.0396,629774
1667138400000,0.0396,0.0398,0.0395,0.0398,352157
1667142000000,0.0397,0.0398,0.0392,0.0393,306985
1667145600000,0.0393,0.0394,0.0391,0.0392,365661
1667149200000,0.0391,0.0394,0.039,0.0394,472846
1667152800000,0.0394,0.0394,0.0393,0.0393,161568
1667156400000,0.0394,0.0394,0.0392,0.0393,124763
1667160000000,0.0394,0.0394,0.0392,0.0394,149126
1667163600000,0.0394,0.0395,0.0393,0.0394,102393
1667167200000,0.0394,0.0394,0.0389,0.0391,260312
1667170800000,0.039,0.0393,0.039,0.0393,233188
1667174400000,0.0392,0.0394,0.0391,0.0392,468785
1667178000000,0.0392,0.0393,0.0389,0.0391,341404
1667181600000,0.039,0.039,0.0387,0.0389,192395
1667185200000,0.0388,0.0393,0.0388,0.0391,197639
1667188800000,0.0391,0.0394,0.0391,0.0393,367296
1667192400000,0.0393,0.0394,0.0392,0.0392,149213
1667196000000,0.0393,0.0393,0.0389,0.039,457808
1667199600000,0.0389,0.0392,0.0389,0.0392,206522
1667203200000,0.0392,0.0393,0.0389,0.0389,614054
1667206800000,0.0389,0.0395,0.0388,0.0393,683985
1667210400000,0.0394,0.0394,0.0391,0.0393,622025
1667214000000,0.0394,0.0395,0.0392,0.0394,244130
1667217600000,0.0393,0.0395,0.0392,0.0393,351574
1667221200000,0.0393,0.0395,0.0386,0.0386,1297012
1667224800000,0.0386,0.0388,0.0384,0.0387,968117
1667228400000,0.0387,0.0389,0.0386,0.0387,275241
1667232000000,0.0387,0.039,0.0386,0.0387,560628
1667235600000,0.0387,0.0389,0.0387,0.0387,313657
1667239200000,0.0388,0.039,0.0387,0.0389,306163
1667242800000,0.039,0.039,0.0388,0.0389,279514
1667246400000,0.0388,0.039,0.0388,0.0389,225514
1667250000000,0.0388,0.0389,0.0387,0.0389,89699
1667253600000,0.0388,0.039,0.0388,0.0389,363918
1667257200000,0.039,0.0391,0.0389,0.0391,222542
1667260800000,0.039,0.04,0.039,0.0397,1473675
1667264400000,0.0396,0.0397,0.0395,0.0396,247248
1667268000000,0.0396,0.0397,0.0395,0.0396,122097
1667271600000,0.0396,0.0396,0.0394,0.0396,188301
1667275200000,0.0395,0.0396,0.0394,0.0394,176846
1667278800000,0.0394,0.0395,0.0393,0.0394,170359
1667282400000,0.0394,0.0399,0.0394,0.0397,1330798
1667286000000,0.0398,0.0399,0.0395,0.0396,430708
1667289600000,0.0396,0.0397,0.0394,0.0396,325868
1667293200000,0.0396,0.0397,0.0395,0.0397,194994
1667296800000,0.0397,0.0397,0.0394,0.0395,2717795
1667300400000,0.0395,0.0396,0.0393,0.0393,328383
1667304000000,0.0394,0.0395,0.0393,0.0395,428537
1667307600000,0.0394,0.0395,0.0393,0.0394,432632
1667311200000,0.0394,0.0394,0.0392,0.0393,758760
1667314800000,0.0393,0.0394,0.0392,0.0394,722322
1667318400000,0.0394,0.0394,0.039,0.0391,315655
1667322000000,0.0391,0.0392,0.039,0.0392,129197
1667325600000,0.0392,0.0392,0.039,0.0392,172535
1667329200000,0.0391,0.0392,0.039,0.0392,67842
1667332800000,0.039,0.039,0.0389,0.039,108131
1667336400000,0.0391,0.0392,0.039,0.039,69098
1667340000000,0.039,0.0391,0.039,0.0391,24147
1667343600000,0.039,0.0391,0.039,0.039,70118
1667347200000,0.039,0.039,0.0386,0.0389,292345
1667350800000,0.0389,0.0389,0.0388,0.0389,172698
1667354400000,0.0389,0.0389,0.0388,0.0388,176323
1667358000000,0.0389,0.039,0.0388,0.0389,151432
1667361600000,0.0389,0.0389,0.0386,0.0387,294370
1667365200000,0.0388,0.0389,0.0387,0.0389,205511
1667368800000,0.0389,0.0389,0.0387,0.0388,101242
1667372400000,0.0388,0.0388,0.0384,0.0385,372115
1667376000000,0.0385,0.0386,0.0383,0.0385,435819
1667379600000,0.0385,0.0387,0.0384,0.0384,777819
1667383200000,0.0384,0.0384,0.0381,0.0382,327284
1667386800000,0.0382,0.0383,0.0382,0.0383,344468
1667390400000,0.0383,0.0383,0.0379,0.038,635388
1667394000000,0.0381,0.0382,0.038,0.0381,361992
1667397600000,0.0382,0.0383,0.038,0.0382,470958
1667401200000,0.0382,0.0382,0.0381,0.0382,58574
1667404800000,0.0382,0.0383,0.0379,0.0383,391612
1667408400000,0.0383,0.0383,0.0378,0.0379,550533
1667412000000,0.0379,0.0389,0.0377,0.0382,2061943
1667415600000,0.0382,0.0386,0.0377,0.0379,673782
1667419200000,0.0379,0.0379,0.0372,0.0376,1055177
1667422800000,0.0374,0.0377,0.0373,0.0376,773064
1667426400000,0.0376,0.0378,0.0375,0.0376,287596
