date,open,high,low,close,volume
1667005200000,0.1131,0.1131,0.1119,0.1122,2748487
1667008800000,0.1122,0.1124,0.1116,0.1123,2821786
1667012400000,0.1124,0.1133,0.1121,0.1129,5858533
1667016000000,0.1129,0.1134,0.1121,0.1122,4357323
1667019600000,0.1122,0.1127,0.112,0.1124,2184591
1667023200000,0.1124,0.1128,0.1123,0.1125,2906183
1667026800000,0.1125,0.1132,0.1122,0.1131,2584982
1667030400000,0.1132,0.1141,0.1125,0.1139,8739782
1667034000000,0.114,0.1142,0.1135,0.1139,2332940
1667037600000,0.114,0.114,0.1123,0.1125,5745940
1667041200000,0.1125,0.1127,0.1121,0.1125,2640916
1667044800000,0.1124,0.1133,0.1123,0.1132,2315930
1667048400000,0.1131,0.1132,0.1119,0.1126,3674828
1667052000000,0.1126,0.1132,0.1122,0.1123,2832874
1667055600000,0.1124,0.1131,0.1121,0.1128,3309110
1667059200000,0.1127,0.1152,0.1125,0.1147,7490484
1667062800000,0.1147,0.1154,0.113,0.1132,14892580
1667066400000,0.1132,0.1141,0.1127,0.1136,6706856
1667070000000,0.1136,0.1143,0.1133,0.1143,3134928
1667073600000,0.1143,0.1144,0.1133,0.1136,3446009
1667077200000,0.1136,0.1139,0.1132,0.1132,2331436
1667080800000,0.1133,0.1134,0.1125,0.1127,1794404
1667084400000,0.1127,0.1137,0.1124,0.1135,1721780
1667088000000,0.1136,0.1139,0.113,0.1133,3636423
1667091600000,0.1133,0.1139,0.1132,0.1138,2607518
1667095200000,0.1137,0.1143,0.1137,0.1141,1163334
1667098800000,0.1141,0.1143,0.1137,0.1142,1245192
1667102400000,0.1142,0.1143,0.1136,0.1138,1694753
1667106000000,0.1138,0.1144,0.1138,0.1141,1964006
1667109600000,0.1141,0.1143,0.1132,0.114,2879016
1667113200000,0.1141,0.115,0.114,0.115,2694808
1667116800000,0.1149,0.115,0.1133,0.114,2951794
1667120400000,0.1141,0.1144,0.1129,0.1132,4645912
1667124000000,0.1132,0.1136,0.1128,0.1134,3433078
1667127600000,0.1133,0.1136,0.1128,0.1135,2436486
1667131200000,0.1134,0.1135,0.1123,0.1132,2472228
1667134800000,0.1132,0.1142,0.1118,0.1118,10121345
1667138400000,0.1118,0.1126,0.1117,0.1126,4265184
1667142000000,0.1126,0.1127,0.1113,0.1114,4165359
1667145600000,0.1114,0.112,0.111,0.1115,2580450
1667149200000,0.1116,0.1122,0.1113,0.112,973449
1667152800000,0.112,0.1123,0.1118,0.1123,1022808
1667156400000,0.1123,0.1124,0.1117,0.1119,1006405
