date,open,high,low,close,volume
1667005200000,0.736,0.739,0.736,0.738,2991.45
1667008800000,0.739,0.74,0.738,0.74,993.52
1667012400000,0.74,0.741,0.739,0.741,2963.2
1667016000000,0.741,0.741,0.74,0.74,1184.64
1667019600000,0.74,0.741,0.74,0.74,8814.18
1667023200000,0.741,0.749,0.741,0.742,13445.46
1667026800000,0.742,0.745,0.738,0.742,24283.68
1667030400000,0.741,0.747,0.741,0.746,7959.2
1667034000000,0.746,0.749,0.744,0.747,4861.1
1667037600000,0.747,0.748,0.74,0.741,6411.83
1667041200000,0.741,0.742,0.735,0.736,9973.34
1667044800000,0.736,0.742,0.736,0.74,10213.19
1667048400000,0.74,0.741,0.74,0.741,1342.48
1667052000000,0.74,0.742,0.74,0.74,2834.91
1667055600000,0.741,0.741,0.736,0.736,4893.76
1667059200000,0.738,0.748,0.738,0.748,15669.11
1667062800000,0.747,0.749,0.734,0.734,33776.16
1667066400000,0.735,0.737,0.732,0.737,11476.62
1667070000000,0.737,0.765,0.728,0.748,210373.48
1667073600000,0.748,0.751,0.747,0.747,12799.67
1667077200000,0.747,0.755,0.747,0.75,8873.12
1667080800000,0.749,0.75,0.748,0.748,2114.06
1667084400000,0.748,0.753,0.748,0.75,3173.82
1667088000000,0.75,0.752,0.748,0.749,3904.64
1667091600000,0.748,0.75,0.748,0.75,766.24
1667095200000,0.75,0.751,0.748,0.751,3530.49
1667098800000,0.75,0.751,0.748,0.751,2107.76
1667102400000,0.749,0.751,0.748,0.75,1648.55
1667106000000,0.751,0.751,0.748,0.75,1409.02
1667109600000,0.751,0.756,0.751,0.754,6818.97
1667113200000,0.754,0.757,0.754,0.757,3198.61
1667116800000,0.756,0.757,0.753,0.755,33584.21
1667120400000,0.755,0.757,0.748,0.751,4171.23
1667124000000,0.751,0.752,0.749,0.752,1969.53
1667127600000,0.752,0.752,0.749,0.75,2656.85
1667131200000,0.752,0.753,0.75,0.75,1791.8
1667134800000,0.75,0.751,0.742,0.746,15134.43
1667138400000,0.746,0.75,0.745,0.75,7047.54
1667142000000,0.749,0.75,0.744,0.746,5987.54
1667145600000,0.746,0.746,0.743,0.743,8682.48
1667149200000,0.744,0.752,0.743,0.75,13263.93
1667152800000,0.75,0.75,0.743,0.745,11354.05
1667156400000,0.745,0.746,0.743,0.744,3969.45
1667160000000,0.744,0.746,0.743,0.746,3555.28
1667163600000,0.745,0.748,0.744,0.746,1780.2
1667167200000,0.745,0.745,0.738,0.742,9595.78
1667170800000,0.741,0.742,0.739,0.742,4416.34
1667174400000,0.742,0.743,0.737,0.738,6849.07
1667178000000,0.738,0.738,0.731,0.735,10726.97
1667181600000,0.734,0.736,0.733,0.733,3048.16
1667185200000,0.735,0.737,0.735,0.737,3508.49
1667188800000,0.736,0.758,0.736,0.756,40808.04
1667192400000,0.755,0.767,0.753,0.755,55894.41
1667196000000,0.754,0.754,0.742,0.744,32946.55
1667199600000,0.745,0.745,0.742,0.743,2769.28
1667203200000,0.744,0.744,0.741,0.743,5683.81
1667206800000,0.743,0.751,0.74,0.751,8395.07
1667210400000,0.75,0.752,0.748,0.75,4503.54
1667214000000,0.751,0.751,0.749,0.75,1819.33
1667217600000,0.751,0.757,0.75,0.752,13663.92
1667221200000,0.753,0.756,0.742,0.749,29738.22
1667224800000,0.747,0.764,0.737,0.747,69342.6
1667228400000,0.747,0.752,0.747,0.751,16328.63
1667232000000,0.751,0.764,0.75,0.752,35731.79
1667235600000,0.752,0.757,0.752,0.753,4063.65
1667239200000,0.752,0.754,0.749,0.753,7334.49
1667242800000,0.752,0.753,0.751,0.753,6734.89
1667246400000,0.752,0.754,0.749,0.753,6184.77
1667250000000,0.753,0.753,0.752,0.752,4248.81
1667253600000,0.752,0.756,0.751,0.755,4302.76
1667257200000,0.753,0.757,0.753,0.755,1798.49
1667260800000,0.754,0.756,0.753,0.754,4285.38
1667264400000,0.754,0.755,0.754,0.755,1189.11
1667268000000,0.755,0.757,0.753,0.757,10335.84
1667271600000,0.757,0.757,0.751,0.753,11184.65
1667275200000,0.753,0.755,0.751,0.754,8156.11
1667278800000,0.753,0.754,0.753,0.753,2610.83
1667282400000,0.753,0.76,0.753,0.758,9745.97
1667286000000,0.757,0.758,0.755,0.757,9893.28
1667289600000,0.756,0.759,0.756,0.757,3193.3
1667293200000,0.757,0.761,0.757,0.76,9783.09
1667296800000,0.76,0.76,0.757,0.758,2738.58
1667300400000,0.759,0.759,0.755,0.755,4214.14
1667304000000,0.755,0.762,0.754,0.756,22322.59
1667307600000,0.756,0.76,0.751,0.753,23560.51
1667311200000,0.753,0.754,0.747,0.75,15806.75
1667314800000,0.748,0.75,0.746,0.748,7579.06
1667318400000,0.748,0.75,0.746,0.747,5833.74
1667322000000,0.747,0.749,0.746,0.748,6532.45
1667325600000,0.749,0.749,0.748,0.748,3331.94
1667329200000,0.749,0.75,0.749,0.749,3149.73
1667332800000,0.749,0.749,0.744,0.744,8625.41
1667336400000,0.746,0.748,0.746,0.748,2088.04
1667340000000,0.748,0.749,0.746,0.748,3243.13
1667343600000,0.748,0.749,0.747,0.748,227.9
1667347200000,0.748,0.755,0.744,0.75,19128.5
1667350800000,0.751,0.751,0.748,0.749,2622.21
1667354400000,0.75,0.75,0.744,0.748,11924.12
1667358000000,0.748,0.749,0.747,0.747,1012.91
1667361600000,0.747,0.748,0.746,0.746,2412.01
1667365200000,0.747,0.749,0.741,0.742,7375.89
1667368800000,0.741,0.742,0.733,0.735,15089.4
1667372400000,0.735,0.736,0.73,0.735,6137.35
1667376000000,0.735,0.736,0.732,0.736,2643.25
1667379600000,0.736,0.738,0.732,0.732,9644.8
1667383200000,0.733,0.734,0.731,0.733,17974.36
1667386800000,0.732,0.735,0.732,0.734,1875.93
1667390400000,0.735,0.735,0.732,0.732,1636.28
1667394000000,0.732,0.734,0.729,0.731,9021.04
1667397600000,0.73,0.733,0.73,0.731,5923.05
1667401200000,0.732,0.732,0.727,0.728,2865.3
1667404800000,0.727,0.731,0.723,0.728,24351.3
1667408400000,0.73,0.731,0.724,0.724,21187.74
1667412000000,0.724,0.746,0.722,0.729,56241.35
1667415600000,0.728,0.736,0.718,0.724,27255.71
1667419200000,0.724,0.724,0.713,0.716,9816.14
1667422800000,0.716,0.723,0.714,0.719,23400.99
1667426400000,0.718,0.719,0.714,0.717,8043.64
1667430000000,0.715,0.725,0.714,0.722,12187.31
1667433600000,0.721,0.727,0.721,0.727,20467.67
1667437200000,0.727,0.73,0.727,0.729,4484.77
1667440800000,0.73,0.734,0.729,0.733,10638.45
1667444400000,0.733,0.738,0.733,0.738,11056.27
1667448000000,0.737,0.741,0.737,0.741,4387.6
1667451600000,0.741,0.745,0.74,0.745,10849.14
1667455200000,0.744,0.75,0.744,0.749,25334.85
1667458800000,0.749,0.755,0.749,0.753,14877.34
1667462400000,0.753,0.754,0.749,0.75,12148.43
1667466000000,0.749,0.754,0.749,0.754,13159.15
1667469600000,0.754,0.755,0.75,0.751,9259.82
1667473200000,0.75,0.751,0.74,0.741,12354.16
1667476800000,0.742,0.745,0.732,0.735,29517.36
1667480400000,0.735,0.741,0.734,0.736,7656.54
1667484000000,0.736,0.744,0.732,0.741,12349.8
1667487600000,0.743,0.743,0.739,0.741,6303.24
1667491200000,0.743,0.744,0.741,0.744,2338.02
1667494800000,0.742,0.745,0.741,0.744,9563.79
1667498400000,0.744,0.755,0.735,0.742,91678.8
1667502000000,0.742,0.746,0.74,0.742,12467.7
1667505600000,0.743,0.749,0.741,0.749,35975.33
1667509200000,0.749,0.755,0.746,0.751,20115.74
1667512800000,0.751,0.755,0.747,0.747,19565.11
1667516400000,0.747,0.752,0.747,0.749,17351.61
1667520000000,0.75,0.76,0.749,0.756,20753.67
1667523600000,0.755,0.76,0.755,0.756,7872.82
1667527200000,0.758,0.76,0.756,0.759,3777.27
1667530800000,0.759,0.763,0.757,0.761,9103.18
1667534400000,0.762,0.767,0.761,0.765,14271.81
1667538000000,0.765,0.767,0.763,0.764,3785.94
1667541600000,0.765,0.77,0.763,0.77,23605.38
1667545200000,0.769,0.775,0.769,0.773,21135.81
1667548800000,0.773,0.773,0.76,0.76,89201.28
1667552400000,0.761,0.762,0.76,0.762,17473.58
1667556000000,0.762,0.766,0.76,0.765,9693.62
1667559600000,0.765,0.765,0.759,0.759,5800.11
1667563200000,0.76,0.769,0.756,0.769,42666.28
1667566800000,0.769,0.778,0.768,0.774,46406.75
1667570400000,0.774,0.785,0.772,0.78,72920
1667574000000,0.781,0.783,0.777,0.777,42006.16
