date,open,high,low,close,volume
1667005200000,8260,8292,8245,8258,6.80782
1667008800000,8258,8400,8246,8351,20.44252
1667012400000,8357,8442,8338,8411,21.66473
1667016000000,8411,8416,8324,8344,9.3359
1667019600000,8345,8394,8307,8343,17.37421
1667023200000,8341,8415,8341,8364,7.56132
1667026800000,8373,8436,8371,8420,27.08371
1667030400000,8418,8491,8396,8476,22.15738
1667034000000,8469,8503,8451,8496,12.29293
1667037600000,8496,8545,8365,8365,27.71823
1667041200000,8366,8389,8255,8298,27.37647
1667044800000,8294,8350,8257,8322,35.59617
1667048400000,8317,8341,8259,8341,9.92328
1667052000000,8335,8424,8304,8331,15.28784
1667055600000,8332,8394,8308,8360,32.89313
1667059200000,8364,8461,8338,8412,21.98578
1667062800000,8415,8524,8339,8374,35.51935
1667066400000,8374,8513,8334,8444,41.19754
1667070000000,8449,8506,8389,8502,14.19088
1667073600000,8493,8499,8429,8479,12.61087
1667077200000,8472,8504,8457,8470,5.35429
1667080800000,8462,8481,8283,8322,20.14582
1667084400000,8322,8389,8284,8380,7.34159
1667088000000,8376,8376,8298,8305,6.39312
1667091600000,8309,8403,8294,8401,7.54956
1667095200000,8398,8447,8376,8410,6.33604
1667098800000,8415,8454,8415,8430,2.75738
1667102400000,8441,8450,8393,8442,2.4564
1667106000000,8432,8498,8432,8465,5.71506
1667109600000,8462,8500,8422,8482,14.7083
1667113200000,8482,8623,8458,8616,22.16746
1667116800000,8610,8662,8453,8549,31.47326
1667120400000,8549,8563,8327,8422,31.02695
1667124000000,8422,8450,8376,8414,7.44807
1667127600000,8412,8469,8392,8442,4.44748
1667131200000,8435,8441,8332,8409,13.04014
1667134800000,8408,8427,8294,8300,9.54354
1667138400000,8297,8348,8280,8324,8.19245
1667142000000,8333,8339,8199,8219,18.85549
1667145600000,8219,8313,8180,8208,34.15435
1667149200000,8208,8271,8199,8261,3.40277
1667152800000,8253,8270,8221,8254,6.38781
1667156400000,8256,8262,8217,8223,4.94065
1667160000000,8219,8287,8216,8281,1.75163
1667163600000,8279,8297,8246,8269,0.98564
1667167200000,8245,8247,8069,8175,37.13644
1667170800000,8175,8208,8155,8185,4.73709
1667174400000,8191,8256,8166,8177,10.37167
1667178000000,8186,8213,8102,8144,10.65328
1667181600000,8152,8152,8056,8096,4.51666
1667185200000,8097,8196,8082,8185,4.96383
1667188800000,8197,8231,8182,8212,2.58632
1667192400000,8218,8237,8175,8176,1.51699
1667196000000,8185,8193,8105,8164,5.05686
1667199600000,8155,8170,8118,8170,2.85189
1667203200000,8171,8175,8045,8073,9.73109
1667206800000,8077,8259,8061,8250,16.86377
1667210400000,8252,8300,8209,8281,6.84419
1667214000000,8280,8357,8280,8344,12.26726
1667217600000,8347,8349,8265,8275,6.83258
1667221200000,8276,8324,8032,8045,16.58917
1667224800000,8043,8123,8004,8090,45.14901
1667228400000,8082,8173,8069,8132,9.95797
1667232000000,8127,8187,8033,8095,10.35682
1667235600000,8089,8138,8066,8098,4.59093
1667239200000,8108,8153,8096,8129,4.64701
1667242800000,8118,8136,8070,8076,5.33825
1667246400000,8088,8139,8071,8103,4.39179
1667250000000,8101,8110,8083,8092,3.42334
1667253600000,8090,8159,8075,8126,4.56561
1667257200000,8130,8153,8112,8124,1.53146
1667260800000,8122,8329,8099,8128,28.63005
1667264400000,8128,8195,8128,8160,3.31002
1667268000000,8163,8200,8139,8198,6.8834
1667271600000,8192,8217,8143,8153,3.63272
1667275200000,8163,8204,8151,8171,1.81574
1667278800000,8174,8211,8151,8178,2.16479
1667282400000,8174,8234,8160,8205,3.32574
1667286000000,8208,8224,8148,8173,4.96986
1667289600000,8168,8204,8140,8165,9.76852
1667293200000,8170,8259,8161,8210,5.97242
1667296800000,8209,8223,8176,8197,3.94839
1667300400000,8200,8200,8082,8119,27.1721
1667304000000,8110,8132,8080,8117,8.91744
1667307600000,8110,8110,7979,8031,24.94688
1667311200000,8030,8037,7976,8004,5.59996
1667314800000,8013,8049,8006,8036,3.32898
1667318400000,8039,8081,8001,8016,4.52782
1667322000000,8013,8048,8007,8032,0.81341
1667325600000,8041,8059,8024,8054,3.07803
1667329200000,8062,8065,8023,8032,2.43736
1667332800000,8028,8033,8005,8021,3.3311
1667336400000,8025,8038,8007,8007,2.50155
1667340000000,8014,8023,8005,8020,4.47335
1667343600000,8014,8037,8014,8021,1.90575
1667347200000,8025,8048,7950,8028,13.01942
1667350800000,8023,8048,8015,8028,2.78022
1667354400000,8032,8040,7984,8040,2.08092
1667358000000,8041,8074,8025,8053,13.9178
1667361600000,8053,8071,8032,8044,1.09471
1667365200000,8051,8073,7997,7997,4.0123
1667368800000,7997,7997,7950,7967,13.3602
1667372400000,7972,7989,7855,7917,15.51916
1667376000000,7915,8037,7904,8000,15.01316
1667379600000,7999,8023,7885,7885,10.70444
1667383200000,7885,7885,7811,7881,18.3488
1667386800000,7880,7929,7877,7907,5.79882
1667390400000,7903,7922,7857,7891,7.11722
1667394000000,7889,7916,7858,7901,4.44804
1667397600000,7902,7968,7890,7950,4.04105
1667401200000,7937,7963,7915,7941,8.55018
1667404800000,7946,8011,7903,7999,6.51496
1667408400000,8000,8006,7890,7930,15.09556
1667412000000,7930,8212,7841,8010,82.77923
1667415600000,8010,8112,7812,7845,31.1872
1667419200000,7841,7875,7671,7766,23.58088
1667422800000,7761,7828,7753,7828,13.40738
1667426400000,7819,7856,7775,7818,6.4222
1667430000000,7814,7874,7813,7861,3.80647
1667433600000,7862,7947,7820,7929,7.37009
1667437200000,7930,8003,7921,7993,9.27446
1667440800000,8003,8072,7997,8025,11.43482
1667444400000,8026,8086,8026,8061,6.11917
1667448000000,8055,8113,8010,8032,5.27082
1667451600000,8030,8072,8017,8072,10.30672
1667455200000,8072,8082,8000,8068,10.29169
1667458800000,8066,8119,8014,8022,8.99762
1667462400000,8026,8075,7988,8038,8.95476
1667466000000,8044,8058,8026,8052,3.01218
1667469600000,8050,8548,8046,8466,627.73522
1667473200000,8479,8499,8071,8114,179.18946
1667476800000,8115,8173,8026,8104,51.98727
1667480400000,8110,8168,7887,7909,44.71939
1667484000000,7917,8140,7917,8099,25.76375
1667487600000,8094,8105,8025,8073,11.2787
1667491200000,8072,8136,8065,8132,7.5334
1667494800000,8131,8133,8063,8068,4.68184
1667498400000,8073,8088,7990,8040,21.58566
1667502000000,8040,8068,8012,8023,7.80754
1667505600000,8025,8059,7980,8009,17.7112
1667509200000,8013,8053,7995,8016,23.09745
1667512800000,8016,8016,7905,7933,19.66654
1667516400000,7926,7970,7876,7930,17.4741
1667520000000,7922,8044,7895,8032,31.49613
1667523600000,8032,8069,7979,8033,16.77625
1667527200000,8038,8094,8035,8060,6.99838
1667530800000,8061,8140,8061,8128,14.54517
1667534400000,8138,8212,8112,8180,28.88494
1667538000000,8180,8217,8148,8197,16.47653
1667541600000,8199,8369,8199,8357,48.43765
1667545200000,8361,8361,8290,8332,15.86848
1667548800000,8341,8408,8285,8293,35.96191
1667552400000,8293,8314,8206,8225,13.63652
1667556000000,8230,8335,8223,8321,8.92626
1667559600000,8315,8315,8195,8210,12.5749
1667563200000,8210,8347,8089,8335,74.86228
1667566800000,8337,8414,8263,8313,25.46938
1667570400000,8320,8499,8295,8396,62.82405
1667574000000,8398,8404,8172,8172,30.65325
1667577600000,8172,8279,8140,8269,34.64861
1667581200000,8267,8303,8233,8277,7.11236
1667584800000,8286,8340,8225,8311,14.21963
1667588400000,8313,8365,8307,8362,11.76358
1667592000000,8362,8366,8299,8351,19.76005
1667595600000,8355,8392,8328,8388,4.82759
1667599200000,8379,8437,8357,8420,8.30524
1667602800000,8420,8421,8340,8390,17.81646
1667606400000,8390,8542,8365,8521,34.65486
1667610000000,8518,8596,8505,8532,33.50924
1667613600000,8537,8537,8466,8513,16.42271
1667617200000,8506,8538,8394,8447,21.57043
1667620800000,8442,8499,8421,8427,4.7505
1667624400000,8427,8443,8409,8411,14.73537
1667628000000,8413,8514,8410,8506,17.94434
1667631600000,8506,8536,8478,8508,14.57569
1667635200000,8507,8544,8338,8388,45.62327
1667638800000,8397,8411,8289,8329,26.20127
1667642400000,8337,8367,8274,8325,33.7917
1667646000000,8336,8385,8329,8359,12.23655
1667649600000,8351,8367,8289,8308,11.46423
1667653200000,8306,8354,8240,8340,12.96676
1667656800000,8340,8414,8279,8337,26.03208
1667660400000,8336,8386,8304,8329,8.97491
1667664000000,8330,8510,8329,8410,65.37267
1667667600000,8410,8424,8345,8363,65.32635
1667671200000,8363,8377,8275,8302,17.05043
1667674800000,8308,8351,8296,8342,10.24661
1667678400000,8336,8374,8326,8344,6.36296
1667682000000,8340,8354,8297,8340,25.13944
1667685600000,8340,8387,8327,8356,4.52275
1667689200000,8361,8361,8148,8285,33.57259
1667692800000,8280,8310,8220,8239,10.06778
1667696400000,8233,8274,8119,8124,22.22436
1667700000000,8154,8200,8141,8180,10.07081
1667703600000,8184,8249,8184,8237,6.16169
1667707200000,8240,8263,8225,8240,2.77651
1667710800000,8243,8251,8168,8171,3.7054
1667714400000,8174,8210,8174,8191,3.26512
1667718000000,8189,8230,8188,8218,3.16146
1667721600000,8215,8290,8196,8252,11.85972
1667725200000,8259,8271,8225,8231,4.47516
1667728800000,8238,8310,8225,8288,23.50204
1667732400000,8290,8290,8189,8244,11.53283
1667736000000,8239,8276,8223,8236,6.4326
1667739600000,8230,8270,8207,8266,3.15119
1667743200000,8260,8295,8235,8274,8.15217
1667746800000,8278,8301,8246,8246,22.78354
1667750400000,8245,8246,8128,8204,21.55843
1667754000000,8203,8222,8163,8181,12.1639
1667757600000,8189,8189,8105,8150,7.94549
