date,open,high,low,close,volume
1667005200000,0.2855,0.2857,0.2835,0.2846,107275.2
1667008800000,0.2843,0.2868,0.2836,0.2859,151211.7
1667012400000,0.2856,0.2929,0.2848,0.2923,533772.6
1667016000000,0.2915,0.2963,0.2881,0.2953,707149.6
1667019600000,0.2953,0.2968,0.2916,0.2936,869700.9
1667023200000,0.2936,0.3153,0.2934,0.3087,2927566.1
1667026800000,0.3088,0.3289,0.3083,0.312,9133968.7
1667030400000,0.312,0.3131,0.3037,0.3063,1821894.9
1667034000000,0.3067,0.3142,0.3067,0.3108,1141353.3
1667037600000,0.311,0.3146,0.3045,0.3049,1214434.7
1667041200000,0.3052,0.3062,0.3027,0.3049,610526.6
1667044800000,0.3044,0.3106,0.3039,0.3086,405539.8
1667048400000,0.3083,0.3135,0.306,0.3133,1426235.9
1667052000000,0.3134,0.3249,0.3072,0.3088,2164332.2
1667055600000,0.3088,0.31,0.3052,0.3077,755830.7
1667059200000,0.3076,0.3154,0.3046,0.31,1294792.7
1667062800000,0.3099,0.3132,0.305,0.3069,1187045.6
1667066400000,0.3067,0.3097,0.3041,0.3083,481174.6
1667070000000,0.3085,0.3114,0.3049,0.3082,484590.4
1667073600000,0.308,0.31,0.3052,0.3072,316089.4
1667077200000,0.3069,0.3109,0.3057,0.3071,402915.4
1667080800000,0.3072,0.3109,0.3064,0.3078,471841.9
1667084400000,0.3074,0.3152,0.3051,0.3145,477758.7
1667088000000,0.3146,0.332,0.3119,0.324,4968491.5
1667091600000,0.3236,0.3399,0.3211,0.3262,2334340.2
1667095200000,0.3257,0.3289,0.3202,0.327,741330.9
1667098800000,0.3268,0.334,0.3232,0.3281,667173.1
1667102400000,0.3278,0.3313,0.3206,0.3211,820865.4
1667106000000,0.3216,0.322,0.3185,0.3194,793016.8
1667109600000,0.3194,0.325,0.3186,0.3227,545539.4
1667113200000,0.3226,0.3275,0.321,0.3267,577514.3
1667116800000,0.3264,0.3323,0.3169,0.3181,1273449.9
1667120400000,0.3185,0.3204,0.3075,0.3094,1107866.6
1667124000000,0.3089,0.3093,0.3047,0.3088,718175.8
1667127600000,0.3088,0.3114,0.3065,0.3102,628857
1667131200000,0.31,0.31,0.3051,0.3072,460061.3
1667134800000,0.3072,0.3079,0.2997,0.3004,769496.5
1667138400000,0.3004,0.3037,0.2986,0.3029,712964.5
1667142000000,0.303,0.3038,0.2949,0.2957,678373.3
1667145600000,0.296,0.2997,0.295,0.2974,228305.4
1667149200000,0.2968,0.3001,0.2953,0.2998,364779.4
1667152800000,0.2998,0.3026,0.2942,0.301,1226776
1667156400000,0.3012,0.3042,0.3008,0.3017,748970.2
1667160000000,0.3017,0.3038,0.3009,0.3017,314108.7
1667163600000,0.3017,0.3032,0.3001,0.3004,182681.4
1667167200000,0.3009,0.301,0.2959,0.3003,356535.3
1667170800000,0.3003,0.3015,0.2993,0.2998,181344.5
1667174400000,0.2997,0.3019,0.2963,0.297,399166.4
1667178000000,0.297,0.2994,0.292,0.2922,469778.6
1667181600000,0.2922,0.2938,0.2889,0.2934,449962
1667185200000,0.2935,0.2986,0.2926,0.2985,322096
1667188800000,0.2985,0.301,0.2966,0.2975,344269.4
1667192400000,0.2976,0.2989,0.2965,0.2965,141324.3
1667196000000,0.2967,0.297,0.2916,0.2965,450449.2
1667199600000,0.2966,0.2975,0.2935,0.2948,179509.2
1667203200000,0.2949,0.2949,0.2915,0.2923,303646.7
1667206800000,0.2925,0.3006,0.2915,0.2993,564597.7
1667210400000,0.2997,0.3045,0.298,0.3008,807550.4
1667214000000,0.3013,0.302,0.2984,0.2999,324547.6
1667217600000,0.2995,0.3034,0.2977,0.3005,669187.5
1667221200000,0.301,0.3027,0.2907,0.2907,740260.1
1667224800000,0.2905,0.2929,0.2872,0.2886,803853.4
1667228400000,0.2889,0.2916,0.2883,0.2897,379489.4
1667232000000,0.2897,0.2934,0.289,0.292,550316
1667235600000,0.2918,0.2927,0.2876,0.2905,827335.3
1667239200000,0.2905,0.2929,0.2899,0.2902,333002.4
1667242800000,0.2901,0.2905,0.288,0.288,241344.3
1667246400000,0.2881,0.289,0.2854,0.2864,413651.7
1667250000000,0.2863,0.287,0.281,0.2856,1138696.4
1667253600000,0.2856,0.2888,0.2855,0.2876,457712.8
1667257200000,0.2876,0.2888,0.2865,0.2877,124374.5
1667260800000,0.2874,0.2914,0.2865,0.2883,366709.8
1667264400000,0.2883,0.292,0.2879,0.2901,293292.8
1667268000000,0.2901,0.2936,0.288,0.2928,468160.9
1667271600000,0.2922,0.294,0.2848,0.2881,553844.4
1667275200000,0.2882,0.2885,0.2844,0.2849,381958.1
1667278800000,0.2853,0.2875,0.2849,0.2859,414270.6
1667282400000,0.2859,0.2902,0.285,0.2899,314723.6
1667286000000,0.2899,0.2915,0.2854,0.2874,533849.3
1667289600000,0.2874,0.2888,0.2852,0.2871,440907.5
1667293200000,0.2875,0.2902,0.2864,0.2884,408845.1
1667296800000,0.2887,0.2894,0.284,0.2886,738535.1
1667300400000,0.2884,0.2884,0.2838,0.2852,340244.3
1667304000000,0.2852,0.2873,0.2844,0.2866,308916.1
1667307600000,0.2866,0.2867,0.2782,0.2815,1180607.7
1667311200000,0.2814,0.2827,0.28,0.2811,310531.3
1667314800000,0.2819,0.283,0.2811,0.2821,235733.4
1667318400000,0.2821,0.2833,0.2781,0.2786,369199.2
1667322000000,0.2787,0.2802,0.2779,0.2788,289137.7
