date,open,high,low,close,volume
1667005200000,13.64,13.68,13.58,13.59,3218.22
1667008800000,13.59,13.68,13.58,13.65,1815
1667012400000,13.65,13.85,13.6,13.68,6445.87
1667016000000,13.69,13.72,13.64,13.64,3257.19
1667019600000,13.65,13.69,13.61,13.65,3137.44
1667023200000,13.66,13.8,13.66,13.77,2048.18
1667026800000,13.78,13.84,13.74,13.81,3557.36
1667030400000,13.82,14.02,13.75,13.98,4617.75
1667034000000,13.98,14.03,13.94,14,4115.47
1667037600000,14,14.06,13.72,13.78,6762.12
1667041200000,13.78,13.81,13.64,13.71,2689.19
1667044800000,13.71,13.98,13.7,13.95,3602.2
1667048400000,13.96,13.98,13.75,13.91,4086.14
1667052000000,13.91,13.94,13.77,13.81,2441.58
1667055600000,13.82,13.96,13.78,13.94,5912.37
1667059200000,13.94,14.24,13.92,14.1,8306.32
1667062800000,14.1,14.28,13.84,13.92,9262.67
1667066400000,13.92,14.08,13.84,13.99,17309.59
1667070000000,13.99,14.08,13.83,13.96,18576.03
1667073600000,13.96,14.03,13.9,13.99,2115.37
1667077200000,13.98,14.04,13.98,14,484
1667080800000,14,14,13.74,13.79,2389.46
1667084400000,13.78,13.96,13.76,13.94,1704.08
1667088000000,13.94,13.95,13.84,13.86,938.4
1667091600000,13.86,14.02,13.83,13.99,2305.85
1667095200000,14,14.01,13.95,14,1845.38
1667098800000,14.01,14.11,13.99,14.02,4752.17
1667102400000,14.03,14.04,13.95,13.97,1166.81
1667106000000,13.98,14.06,13.96,13.98,2372.83
1667109600000,13.97,14.05,13.89,13.98,2870.16
1667113200000,13.97,14.18,13.94,14.17,5916.59
1667116800000,14.16,14.18,13.89,14.01,4267.23
1667120400000,14.02,14.12,13.81,13.9,5468.46
1667124000000,13.9,14.06,13.88,13.98,1788.99
1667127600000,13.98,14.08,13.91,13.97,1946.97
1667131200000,13.98,13.99,13.85,13.92,2783.1
1667134800000,13.91,13.94,13.74,13.76,5494.6
1667138400000,13.76,13.85,13.72,13.82,1414.04
1667142000000,13.82,13.84,13.58,13.63,2849.07
1667145600000,13.61,13.73,13.52,13.61,2991.35
1667149200000,13.61,13.66,13.55,13.62,3103.25
1667152800000,13.62,13.72,13.6,13.66,1202.68
1667156400000,13.65,13.7,13.63,13.64,680.01
1667160000000,13.64,13.73,13.63,13.69,1880.16
1667163600000,13.68,13.73,13.66,13.69,477.77
1667167200000,13.69,13.71,13.41,13.56,2558.34
1667170800000,13.55,13.62,13.53,13.59,853.16
1667174400000,13.6,13.72,13.56,13.57,2018.04
1667178000000,13.58,13.65,13.5,13.56,1809.58
1667181600000,13.57,13.57,13.41,13.5,1252.98
1667185200000,13.51,13.63,13.49,13.63,1770.95
1667188800000,13.63,13.67,13.55,13.62,2612.5
1667192400000,13.61,13.67,13.58,13.6,749.35
1667196000000,13.59,13.61,13.5,13.58,915.48
1667199600000,13.57,13.62,13.54,13.62,1226.55
1667203200000,13.6,13.61,13.35,13.39,6480.98
1667206800000,13.38,13.72,13.37,13.71,4257.95
1667210400000,13.71,13.75,13.61,13.66,1130.91
1667214000000,13.68,13.74,13.66,13.68,1157.42
1667217600000,13.67,13.72,13.62,13.68,1238.6
1667221200000,13.67,13.74,13.19,13.23,6410.24
1667224800000,13.23,13.4,13.16,13.34,6560.67
1667228400000,13.33,13.45,13.3,13.37,4537.71
1667232000000,13.36,13.48,13.31,13.38,2799.09
1667235600000,13.37,13.44,13.35,13.38,1597.68
1667239200000,13.39,13.45,13.39,13.42,560.43
1667242800000,13.42,13.43,13.35,13.37,625.05
1667246400000,13.36,13.44,13.34,13.4,432.47
1667250000000,13.39,13.41,13.34,13.39,504.9
1667253600000,13.39,13.52,13.35,13.5,2832.51
1667257200000,13.5,13.53,13.47,13.47,786.92
1667260800000,13.48,13.6,13.46,13.54,1264.24
1667264400000,13.55,13.58,13.51,13.53,1720.24
1667268000000,13.52,13.61,13.52,13.53,1196.5
