date,open,high,low,close,volume
1667005200000,0.2588,0.2594,0.2588,0.2591,16892
1667008800000,0.259,0.2602,0.2577,0.2593,81040
1667012400000,0.259,0.264,0.2585,0.263,1335071
1667016000000,0.263,0.2647,0.2606,0.2612,208905
1667019600000,0.2613,0.2628,0.2602,0.2615,106864
1667023200000,0.2616,0.2626,0.2614,0.2616,88728
1667026800000,0.2617,0.2631,0.2616,0.2631,63428
1667030400000,0.2631,0.2653,0.2623,0.2645,216370
1667034000000,0.2644,0.2648,0.2634,0.2644,156282
1667037600000,0.2642,0.2654,0.2602,0.2609,1153718
1667041200000,0.2609,0.2612,0.259,0.2599,370051
1667044800000,0.2596,0.263,0.2595,0.2629,183401
1667048400000,0.2627,0.2628,0.2599,0.2619,188887
1667052000000,0.262,0.2635,0.2603,0.2613,197645
1667055600000,0.2616,0.264,0.2611,0.264,184155
1667059200000,0.264,0.2685,0.2635,0.2677,338780
1667062800000,0.2675,0.271,0.2626,0.2639,652548
1667066400000,0.2642,0.2665,0.262,0.2649,382209
1667070000000,0.2651,0.2657,0.2615,0.2644,228469
1667073600000,0.2644,0.2664,0.2634,0.2647,137279
1667077200000,0.2647,0.2662,0.2642,0.2647,54907
1667080800000,0.2643,0.2646,0.2597,0.2608,314968
1667084400000,0.2607,0.2626,0.2598,0.2624,146558
1667088000000,0.2622,0.2662,0.2609,0.2614,586243
1667091600000,0.2616,0.2646,0.2612,0.2633,277158
1667095200000,0.2633,0.2635,0.2621,0.2626,129045
1667098800000,0.2627,0.264,0.2627,0.2635,108014
1667102400000,0.2635,0.2636,0.2608,0.2615,343197
1667106000000,0.2616,0.2639,0.2616,0.2622,491874
1667109600000,0.2621,0.2646,0.261,0.2638,713624
1667113200000,0.2635,0.2675,0.2629,0.2668,654628
1667116800000,0.2668,0.2678,0.2615,0.2642,383880
1667120400000,0.2642,0.2657,0.2595,0.2603,474419
1667124000000,0.2605,0.2622,0.26,0.2614,310315
1667127600000,0.2614,0.2623,0.26,0.2615,282920
1667131200000,0.2614,0.2619,0.2587,0.2609,181288
1667134800000,0.2608,0.2613,0.2573,0.2579,248693
1667138400000,0.2578,0.2599,0.2571,0.2597,165645
1667142000000,0.2599,0.2599,0.2545,0.2551,627639
1667145600000,0.2543,0.2577,0.2533,0.2538,443562
1667149200000,0.2543,0.2557,0.2528,0.2555,201679
1667152800000,0.2556,0.256,0.2546,0.2554,170916
1667156400000,0.2558,0.2564,0.2546,0.255,141644
1667160000000,0.2549,0.2558,0.2539,0.2555,214057
1667163600000,0.2557,0.2558,0.2547,0.2556,97258
1667167200000,0.2554,0.2554,0.2485,0.2517,973601
1667170800000,0.2516,0.2526,0.251,0.2518,215395
1667174400000,0.2518,0.254,0.2509,0.2513,282462
1667178000000,0.2513,0.2527,0.2495,0.251,238711
1667181600000,0.251,0.2511,0.248,0.2497,298746
1667185200000,0.2498,0.2527,0.2495,0.2525,103322
1667188800000,0.2525,0.253,0.2514,0.252,127786
1667192400000,0.252,0.2526,0.2511,0.2514,105401
1667196000000,0.2514,0.2518,0.249,0.2511,331898
1667199600000,0.2512,0.2524,0.25,0.2524,164659
1667203200000,0.2524,0.2524,0.2496,0.2509,309280
1667206800000,0.2504,0.2555,0.2498,0.255,242136
1667210400000,0.2551,0.2563,0.2538,0.2555,246484
1667214000000,0.2557,0.2566,0.255,0.2551,111815
1667217600000,0.255,0.2563,0.2538,0.2549,161441
1667221200000,0.2549,0.2571,0.2503,0.2503,621845
1667224800000,0.2502,0.2524,0.2489,0.2511,274376
1667228400000,0.2512,0.2534,0.2503,0.2521,129972
1667232000000,0.2521,0.255,0.2509,0.2523,219243
1667235600000,0.2524,0.2541,0.2519,0.2528,79932
1667239200000,0.2528,0.254,0.2526,0.2529,60660
1667242800000,0.2531,0.2533,0.2514,0.2516,83342
1667246400000,0.2517,0.2533,0.2511,0.2519,168687
1667250000000,0.2519,0.2525,0.2512,0.2523,29356
1667253600000,0.2522,0.2547,0.2512,0.2544,190515
1667257200000,0.2545,0.2554,0.2539,0.2546,175279
1667260800000,0.2546,0.2568,0.2537,0.2553,227222
1667264400000,0.2553,0.2568,0.2553,0.2558,78612
1667268000000,0.2562,0.257,0.2557,0.2565,80656
1667271600000,0.2568,0.2571,0.2557,0.2561,72262
1667275200000,0.2563,0.2564,0.2542,0.2551,59881
1667278800000,0.2549,0.2556,0.2542,0.2554,67159
1667282400000,0.2551,0.2575,0.2549,0.257,132663
1667286000000,0.257,0.2576,0.2558,0.2567,97599
1667289600000,0.2566,0.2576,0.2561,0.2562,99255
1667293200000,0.2565,0.2584,0.256,0.2571,246436
1667296800000,0.2574,0.2578,0.2564,0.2578,99095
1667300400000,0.2579,0.258,0.2544,0.2558,109204
1667304000000,0.2559,0.2566,0.2549,0.2566,173517
1667307600000,0.2566,0.2569,0.2513,0.2531,152846
1667311200000,0.2529,0.2541,0.2514,0.253,122346
1667314800000,0.2533,0.2544,0.253,0.2537,78685
1667318400000,0.2537,0.2546,0.2529,0.2534,161060
1667322000000,0.2532,0.2544,0.2523,0.2544,94765
1667325600000,0.2544,0.2557,0.2539,0.2554,126067
1667329200000,0.2553,0.2553,0.2539,0.2542,50981
1667332800000,0.2542,0.2543,0.2534,0.2539,98016
1667336400000,0.2538,0.2541,0.2535,0.2536,27981
